,mean,2SD_within,2SD_session,2RSD%_within,2RSD%_session,drift_inflation
SiO2,40.09066666666666,0.17325743560123213,1.2565364338226765,0.4321640172306909,3.1342368144439527,7.25242428679777
MgO,49.73533333333333,0.17897363244280126,0.28634311752228514,0.359852081905824,0.5757337858845191,1.5999178963627416
FeO,9.506666666666666,0.13289100991199648,0.14094916341243982,1.3978717732678452,1.4826349587563796,1.060637311024874
MnO,0.14332,0.009111087488865325,0.008468158848634938,6.35716403074611,5.908567435553264,0.9294344784839229
CaO,0.10177333333333334,0.004172673564725913,0.0040365945099917165,4.099967474838771,3.966259508048981,0.9673880420734194
Cr2O3,0.015279999999999997,0.0115968497737391,0.012918248443854252,75.89561370248103,84.54351075820847,1.113944622539428
NiO,0.3535399999999999,0.03299069917792919,0.04476891778901966,9.331532267333031,12.66304174605976,1.3570163380765845
Al2O3,0.03396,0.007949925618221675,0.007794796799330764,23.409674965317066,22.95287632311768,0.9804867584502491
