,reference,measured,measured_corr,2SD,dev_pct,dev_pct_corr,calibrated_on,problem
SiO2,40.81,40.09066666666666,40.81015260924053,1.2565364338226765,-1.7626398758474529,0.00037395060164164434,SC-Ol,False
MgO,49.42,49.73533333333333,49.73533333333333,0.28634311752228514,0.638068258464848,0.638068258464848,SC-Ol,True
FeO,9.55,9.506666666666666,9.506666666666666,0.14094916341243982,-0.4537521815008877,-0.4537521815008877,SC-Ol,False
MnO,0.14,0.14332,0.14332,0.008468158848634938,2.371428571428564,2.371428571428564,Rhodonite,False
CaO,0.092,0.10177333333333334,0.10177333333333334,0.0040365945099917165,10.623188405797112,10.623188405797112,Wollastonite,True
Cr2O3,0.014,0.015279999999999997,0.015279999999999997,0.012918248443854252,9.142857142857117,9.142857142857117,Cr2O3,False
NiO,0.37,0.3535399999999999,0.3535399999999999,0.04476891778901966,-4.448648648648672,-4.448648648648672,NiO,False
Al2O3,0.033,0.03396,0.03396,0.007794796799330764,2.9090909090908954,2.9090909090908954,Corundum,False
