sample,oxide,n,mean,2SD,2RSD%,2SE
UnkA-C20-S2-1MI_1,SiO2,3,40.07391082499482,1.3290396672221603,3.3164710901967034,0.7673214096344049
UnkA-C20-S2-1MI_1,MgO,3,46.01333333333333,0.5700292390161541,1.2388349152770664,0.3291065345919341
UnkA-C20-S2-1MI_1,FeO,3,14.433333333333332,0.9669195071635153,6.699211366028975,0.5582512377455559
UnkA-C20-S2-1MI_1,MnO,3,0.24026666666666666,0.03703637851266416,15.414696939233142,0.02138296310409553
UnkA-C20-S2-1MI_1,CaO,3,0.34780000000000005,0.019062004091910185,5.480737231716557,0.011005453193758093
UnkA-C20-S2-1MI_1,Cr2O3,3,0.028833333333333332,0.011754715365900323,40.76779895687974,0.006786588080749982
UnkA-C20-S2-1MI_1,NiO,3,0.20323333333333335,0.012215290963924402,6.010476118053666,0.007052501526251358
UnkA-C20-S2-1MI_1,Al2O3,3,0.03153333333333334,0.011800564958226928,37.42251043835177,0.006813059355221982
UnkA-C20-S2-1MI_1,Fo,3,85.03604701813966,1.0095710059337413,1.1872271128952905,0.5828760920418868
UnkA-C20-S2-1MI_2,SiO2,3,40.28961364407259,1.6165659394866743,4.0123639649855605,0.9333247803254117
UnkA-C20-S2-1MI_2,MgO,3,44.79,0.5211525688318102,1.1635467042460599,0.3008875759039106
UnkA-C20-S2-1MI_2,FeO,3,15.303333333333333,0.15275252316519355,0.9981650391975183,0.08819171036881905
UnkA-C20-S2-1MI_2,MnO,3,0.24966666666666668,0.0063287702860297815,2.534887965031955,0.0036539172282785996
UnkA-C20-S2-1MI_2,CaO,3,0.3409,0.007597367965289022,2.228620699703439,0.004386342439892257
UnkA-C20-S2-1MI_2,Cr2O3,3,0.011166666666666667,0.012703280416228454,113.76072014532943,0.0073342423679008
UnkA-C20-S2-1MI_2,NiO,3,0.1900666666666667,0.01719806190631182,9.048436639588822,0.00992930567114898
UnkA-C20-S2-1MI_2,Al2O3,3,0.04103333333333334,0.014006189108152628,34.133685885018586,0.008086477051912724
UnkA-C20-S2-1MI_2,Fo,3,83.91524051507554,0.27004918153473983,0.3218118423747173,0.15591296765352017
UnkA-C20-S2-1MI_3,SiO2,3,40.53025877075208,1.3710122283737836,3.382688070482169,0.7915542791138727
UnkA-C20-S2-1MI_3,MgO,3,47.23666666666667,0.17009801096230145,0.36009740518446426,0.09820613241770466
UnkA-C20-S2-1MI_3,FeO,3,12.856666666666667,0.20526405757787577,1.5965573573596767,0.11850925889754142
UnkA-C20-S2-1MI_3,MnO,3,0.21093333333333333,0.012528899925106486,5.939743959437335,0.007233563744410112
UnkA-C20-S2-1MI_3,CaO,3,0.3557666666666666,0.00666433292485704,1.8732314039699358,0.0038476544081354983
UnkA-C20-S2-1MI_3,Cr2O3,3,0.039099999999999996,0.012600000000000002,32.22506393861894,0.007274613391789286
UnkA-C20-S2-1MI_3,NiO,3,0.20803333333333332,0.01093678807206821,5.257228683897554,0.006314357537478469
UnkA-C20-S2-1MI_3,Al2O3,3,0.03456666666666667,0.020901993525339477,60.46864086404864,0.012067771588454563
UnkA-C20-S2-1MI_3,Fo,3,86.75374158369992,0.18587405125885298,0.21425479508514556,0.10731443352966508
UnkA-C20-S2-1MI_4,SiO2,3,40.78403870814254,1.4649784537290784,3.59203869977839,0.8458057046174852
UnkA-C20-S2-1MI_4,MgO,3,47.4,0.4853864439804623,1.0240220337140555,0.2802379940931152
UnkA-C20-S2-1MI_4,FeO,3,12.839999999999998,0.4715930449020629,3.672843028832266,0.27227437142216127
UnkA-C20-S2-1MI_4,MnO,3,0.20636666666666667,0.008814382186706748,4.271223802313075,0.005088985928235383
UnkA-C20-S2-1MI_4,CaO,3,0.35650000000000004,0.00923688259100431,2.590990909117618,0.005332916650389307
UnkA-C20-S2-1MI_4,Cr2O3,3,0.03563333333333333,0.00808537774833888,22.69048947148423,0.004668095019503262
UnkA-C20-S2-1MI_4,NiO,3,0.21886666666666668,0.0012220201853215696,0.5583400176613933,0.0007055336829505646
UnkA-C20-S2-1MI_4,Al2O3,3,0.032,0.016332789106579433,51.039965958060726,0.009429740187301024
UnkA-C20-S2-1MI_4,Fo,3,86.80786833298824,0.5279788554332916,0.6082154366560479,0.3048287343108414
UnkA-C20-S2-1MI_5,SiO2,3,40.37556753373095,1.1624168600603337,2.879010577595513,0.6711216870663933
UnkA-C20-S2-1MI_5,MgO,3,46.129999999999995,0.17999999999999794,0.390201604162146,0.10392304845413146
UnkA-C20-S2-1MI_5,FeO,3,14.326666666666668,0.11015141094572342,0.7688558232600518,0.0635959467611305
UnkA-C20-S2-1MI_5,MnO,3,0.23126666666666665,0.007508217720160558,3.2465628654484977,0.0043348715218690164
UnkA-C20-S2-1MI_5,CaO,3,0.32139999999999996,0.0074000000000000125,2.30242688238955,0.004272391992003238
UnkA-C20-S2-1MI_5,Cr2O3,3,0.03716666666666667,0.055568456279919576,149.51154156032175,0.03208246319166352
UnkA-C20-S2-1MI_5,NiO,3,0.20683333333333334,0.0172989402372901,8.363710026087075,0.009987547802694688
UnkA-C20-S2-1MI_5,Al2O3,3,0.0309,0.01021958903283297,33.073103666126116,0.005900282479113463
UnkA-C20-S2-1MI_5,Fo,3,85.16232727154754,0.05625287236119364,0.06605370492263138,0.03247761100042481
UnkA-C20-S2-1MI_6,SiO2,3,39.99138953115873,0.08389431789030201,0.2097809525346373,0.04843640701744591
UnkA-C20-S2-1MI_6,MgO,3,47.29666666666666,0.24440403706431246,0.516746854036886,0.14110673659011208
UnkA-C20-S2-1MI_6,FeO,3,12.843333333333334,0.3442867022313407,2.6806646942486947,0.19877402021167312
UnkA-C20-S2-1MI_6,MnO,3,0.21119999999999997,0.02166194820416668,10.256604263336497,0.012506531626847363
UnkA-C20-S2-1MI_6,CaO,3,0.35776666666666673,0.02022111108058441,5.652038874662557,0.011674663925688734
UnkA-C20-S2-1MI_6,Cr2O3,3,0.036866666666666666,0.010000666644445927,27.126582218207762,0.0057738875792465675
UnkA-C20-S2-1MI_6,NiO,3,0.21913333333333332,0.004562163229580172,2.081912030535521,0.0026339661686851246
UnkA-C20-S2-1MI_6,Al2O3,3,0.02896666666666667,0.004509249752822897,15.567030216879965,0.002603416558635553
UnkA-C20-S2-1MI_6,Fo,3,86.78015659320714,0.3588003769955793,0.41345901077074687,0.20715349424373694
UnkA-C20-S2-1MI_7,SiO2,3,40.34217150606781,1.2909165564959186,3.1999183690490085,0.7453110213942634
UnkA-C20-S2-1MI_7,MgO,3,46.28,0.17776388834631518,0.38410520385979946,0.10263202878893965
UnkA-C20-S2-1MI_7,FeO,3,14.136666666666665,0.20816659994661424,1.4725295916997,0.12018504251546687
UnkA-C20-S2-1MI_7,MnO,3,0.23326666666666665,0.011669333028641078,5.002572032855564,0.0067372925653493175
UnkA-C20-S2-1MI_7,CaO,3,0.33873333333333333,0.005832095106677636,1.7217364022862536,0.0033671616797798327
UnkA-C20-S2-1MI_7,Cr2O3,3,0.028166666666666663,0.018776936207308508,66.66367884251542,0.010840869173845998
UnkA-C20-S2-1MI_7,NiO,3,0.22393333333333332,0.005991104516976254,2.675396479745276,0.003458965805619423
UnkA-C20-S2-1MI_7,Al2O3,3,0.032466666666666665,0.01180056495822693,36.34670931692073,0.006813059355221983
UnkA-C20-S2-1MI_7,Fo,3,85.3709071333853,0.14625265271099913,0.17131439458935455,0.0844390084123922
UnkA-C20-S2-3MI_1,SiO2,3,41.680084738763846,0.1835800593550692,0.4404503025981944,0.10598999668649668
UnkA-C20-S2-3MI_1,MgO,3,47.06,0.34176014981269603,0.7262221627979091,0.1973153144926469
UnkA-C20-S2-3MI_1,FeO,3,12.596666666666666,0.4670474636836515,3.7077067770599488,0.2696499788820882
