sample,count,mean,min,max,range,zoned
UnkA-C20-S2-1MI_1,3,85.03604701813966,84.56369572421411,85.56797863773978,1.004282913525671,True
UnkA-C20-S2-1MI_2,3,83.91524051507554,83.76564480885699,84.02808417771264,0.26243936885565233,False
UnkA-C20-S2-1MI_3,3,86.75374158369992,86.66066878956347,86.84654224318062,0.18587345361714824,False
UnkA-C20-S2-1MI_4,3,86.80786833298824,86.56386291436372,87.08810010002243,0.5242371856587056,True
UnkA-C20-S2-1MI_5,3,85.16232727154754,85.13116111466873,85.18582232896033,0.05466121429159898,False
UnkA-C20-S2-1MI_6,3,86.78015659320714,86.57865353938146,86.92252322683902,0.34386968745755553,False
UnkA-C20-S2-1MI_7,3,85.3709071333853,85.32428827304062,85.45518763047774,0.13089935743711578,False
UnkA-C20-S2-3MI_1,3,86.94411692957442,86.6723456509429,87.16888337636388,0.4965377254209784,False
UnkA-C20-S2-3MI_2,3,85.43419104990058,85.18315935096425,85.63517498433168,0.4520156333674379,False
UnkA-C20-S2-3MI_3,3,83.61915943225898,83.54375071711631,83.75561462174775,0.21186390463144278,False
UnkA-C20-S2-3MI_4,3,86.58016079605773,86.50294741485504,86.68656773338604,0.18362031853099836,False
UnkA-C21MI_1,3,81.92772647078112,81.76846097830656,82.10123340861519,0.3327724303086228,False
UnkA-C21MI_10,3,83.96939294914252,83.43927261822225,85.01422591634098,1.5749532981187286,True
UnkA-C21MI_11,3,83.67940740026117,83.39178711433868,83.89189102607283,0.5001039117341435,True
UnkA-C21MI_12,3,83.57384736428638,83.09923696994797,84.097395667932,0.9981586979840387,True
UnkA-C21MI_13,3,82.64543538375273,81.97075999306615,83.82525891861428,1.8544989255481283,True
UnkA-C21MI_14,3,79.49749760009837,79.44414498201408,79.58353763082486,0.13939264881078373,False
UnkA-C21MI_15,3,80.01260353751331,79.93038618633562,80.07393867809226,0.14355249175663687,False
UnkA-C21MI_16,3,80.88829662614596,80.75300063403046,81.04393498590177,0.29093435187131433,False
UnkA-C21MI_17,3,81.89869172516919,81.39436154687722,82.50008132433437,1.1057197774571534,True
UnkA-C21MI_18,3,82.4681818796079,82.33959419490898,82.56748054612368,0.2278863512146927,False
UnkA-C21MI_19,3,79.55449859866268,79.52502430321826,79.60711034018952,0.08208603697126193,False
UnkA-C21MI_2,3,81.29925782696851,80.49735525489179,81.80783134487136,1.3104760899795735,True
UnkA-C21MI_20,3,85.09991038550768,85.05524817439536,85.15506995885612,0.09982178446075807,False
UnkA-C21MI_21,3,85.76362829941507,85.69025045040705,85.86107909595479,0.17082864554774346,False
UnkA-C21MI_22,3,84.7531487101921,84.62723940576292,84.89214945472195,0.2649100489590239,False
UnkA-C21MI_23,3,80.75011300444528,80.72900123119636,80.78998837287763,0.06098714168126662,False
UnkA-C21MI_24,4,79.2610317786766,79.00512453740704,79.41636303681555,0.41123849940851187,False
UnkA-C21MI_25,3,82.57614327964664,82.52671029351212,82.63748140229495,0.11077110878282781,False
UnkA-C21MI_26,3,81.87836586839967,81.63855846491559,82.04480536578416,0.40624690086856674,False
UnkA-C21MI_3,3,84.70688620435156,83.85443836260514,85.61497525524189,1.7605368926367504,True
UnkA-C21MI_4,4,78.97050460654181,78.901962958873,79.06097040526721,0.15900744639421305,False
UnkA-C21MI_5,3,78.76962897893397,78.67618575004714,78.94820511685352,0.27201936680637573,False
UnkA-C21MI_6,3,78.94878314695261,78.9302406909874,78.97872864065396,0.048487949666551344,False
UnkA-C21MI_7,3,84.75827230400381,84.65584250045627,84.86733689900137,0.21149439854509922,False
UnkA-C21MI_8,3,80.58052787854412,80.30436524507124,81.00489047078312,0.7005252257118855,True
UnkA-C21MI_9,3,79.45515652041446,79.38339848514812,79.5450261763884,0.16162769124028387,False
