,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
068GOR132,5469,5041,5166087,71375248,34182804,5621494,21690,129214,70212,32395,103936,211545,1428521,1996929,234,2283,16548,15904,6279,54,13134,747,139,480,144,159,133,218,274,435,846,800,862,358,492,356,169,27,14596,0,71
069GOR128,5670,5914,3488660,82214168,31299480,5719827,14633,158786,50628,28084,97784,171886,1560532,1814225,114,429,32263,13779,6059,91,331,1073,153,620,158,217,134,215,282,372,739,717,712,336,446,337,183,26,195,12,6
070BCR2G,8396,3043,18005208,10031884,48131984,6279199,413985,26526960,54025,19622,282919,163931,1500748,1431516,601,138265,1343068,25956,135986,32549,4543,927508,54975,113306,15708,10567,1581,1413,1308,1168,1668,1293,1218,539,823,559,2407,2260,11129,14376,5033
071MC82-12,2961,543,16404474,10022191,31367082,4075018,377594,6805018,75905,18677,914961,209241,1142465,1415413,714,21029,715471,24840,139229,72579,396,249704,50719,105041,16855,11588,1750,1830,1330,1270,1801,1276,933,364,541,358,1973,4687,2198,4572,1410
072MC82-12B,3188,353,17559812,10744816,32962692,4130352,378185,7099671,81032,18126,827230,196307,1140351,1429413,544,22943,745326,24329,138219,71826,379,260514,51618,110183,17317,11903,1938,1673,1322,1344,1913,1216,976,392,500,335,2046,5058,1898,4738,1373
073MC82-19,1966,386,9793699,84689472,23681760,5547494,272835,4515128,66715,20907,648664,174332,2415991,3070426,403,15404,533651,19215,104052,59456,353,201467,44963,93625,13349,9958,1330,1213,913,1066,1446,1010,708,296,503,253,1375,4017,1686,4504,1096
074MC82-21,3619,756,22577656,15647557,60150884,7689610,583884,9279442,162329,36991,1651037,373091,1854191,2202522,862,30194,1231193,39498,200608,107039,446,403126,76681,178609,28606,19198,3176,3289,2130,2225,3065,1744,1584,661,946,480,2922,6881,52814,6588,2351
075MC82-28,4329,2937,50826620,24176850,88515264,8266884,767551,14379805,87040,13828,1226144,214092,2297213,3014323,3551,92745,1817290,53183,254655,124246,760,893827,220059,481058,47405,23241,2708,4241,4850,2747,2828,1885,2373,1213,1400,443,3767,18160,1278756,9901,2758
076MC82-32,2214,445,17395998,12070330,44307480,6032584,580586,13930946,161088,31900,1226208,252065,1225479,1486215,680,26030,1052495,39464,238718,105666,533,294223,62384,142468,27109,22024,2881,2235,1673,1987,3133,1615,1062,484,884,504,2241,5785,3133,7867,1765
077MC82-40,2754,551,19887048,15227924,47587360,5387670,434192,8204443,105497,28508,1132692,307350,1439340,1814388,717,30418,885887,29789,155423,85521,546,370501,66948,141931,20268,13028,2152,2300,1820,1581,2234,1619,1367,602,631,443,2556,6869,2556,5653,1713
078MC82-5,5039,3146,28059176,12910365,54024440,5768710,746018,12419174,82289,15756,1197095,389054,1598344,1155923,1712,47639,1851248,40341,250190,164511,832,713474,144287,286334,38649,24163,3228,3312,2514,2127,2787,2065,1651,737,932,542,3670,12374,1264613,11193,3530
079MC99U-7,2959,797,14488074,61665844,35848776,5938018,551019,6880230,80567,24041,539411,150639,1718831,2120066,1078,38034,1134891,23305,211540,113138,760,459500,110815,223354,28403,16815,1930,1793,1402,1229,1559,1143,967,376,502,345,3000,8961,3653,9193,2610
080MC99U-10,2067,249,11078437,43084292,34374920,4870612,265517,5088070,91451,24896,955866,219989,1376638,1711898,491,19068,639635,25236,121274,65811,363,257746,52264,103661,15282,10367,1695,1553,1335,1218,1761,1155,985,416,465,341,2068,4646,3324,4349,1330
081KL2,1690,384,7174523,11684068,21569760,3593365,106602,1737601,49679,15620,495894,162151,790646,1092127,102,5023,210435,16273,51146,9826,79,68074,9331,24200,4214,3400,698,912,756,746,1105,778,682,287,361,204,894,755,740,551,377
082KL2,2082,488,9095896,14038683,26379182,4109938,119625,1892229,56768,17603,571415,189009,927533,1301304,183,5941,253782,18685,60929,11629,114,87536,11906,28990,4784,3897,899,1102,929,916,1262,967,889,307,443,278,1171,1026,899,638,473
083KL2,2299,574,10178428,16291443,30805394,4618291,140249,2285519,64645,19336,633893,210918,1061893,1474229,122,6884,291870,21851,69116,13044,172,94889,13131,33270,5618,4328,1057,1150,1061,1113,1563,1037,1069,378,493,292,1239,1122,997,761,505
084N612,22679,10159,84229552,32705,6749645,8871151,8962,0,115011,42210,3012,39303,46200,3471,18733,33217,97187,56845,29675,55978,72824,47754,58735,60168,73529,12705,11568,36369,11256,75411,18101,76153,25593,73208,16893,72053,20458,77853,28699,49641,52780
085N612,22795,10065,84488648,33458,7086598,9009252,8691,0,117277,44194,3108,39787,46269,3797,18010,33482,100355,58414,30931,57286,74696,48150,59581,61882,76094,12511,11403,36030,11460,78143,18452,77793,25718,74478,17345,72846,21041,78433,30184,51088,53781
086N612,22320,10009,85713664,33252,7036429,9171174,8364,0,110271,40879,2945,37525,45721,3874,18566,33679,100150,55959,28759,53416,70190,47357,59427,61494,74076,11600,10954,36138,11393,74838,16887,74803,25514,74105,16165,67891,20110,78894,29231,47714,51120
