No.,Fo+M,Fa+M,Total,Comment,material,is_std,sample,spot
95,82.4996,17.5004,100.0,UnkA-C21MI_17_1,UnkA-C21MI_17,False,UnkA-C21MI_17,1.0
96,81.4004,18.5996,100.0,UnkA-C21MI_17_2,UnkA-C21MI_17,False,UnkA-C21MI_17,2.0
97,81.7991,18.2009,100.0,UnkA-C21MI_17_3,UnkA-C21MI_17,False,UnkA-C21MI_17,3.0
98,82.5697,17.4303,100.0,UnkA-C21MI_18_1,UnkA-C21MI_18,False,UnkA-C21MI_18,1.0
99,82.3367,17.6633,100.0,UnkA-C21MI_18_2,UnkA-C21MI_18,False,UnkA-C21MI_18,2.0
100,82.4983,17.5017,100.0,UnkA-C21MI_18_3,UnkA-C21MI_18,False,UnkA-C21MI_18,3.0
101,79.5227,20.4773,100.0,UnkA-C21MI_19_1,UnkA-C21MI_19,False,UnkA-C21MI_19,1.0
102,79.6094,20.3906,100.0,UnkA-C21MI_19_2,UnkA-C21MI_19,False,UnkA-C21MI_19,2.0
103,79.5302,20.4698,100.0,UnkA-C21MI_19_3,UnkA-C21MI_19,False,UnkA-C21MI_19,3.0
104,85.052,14.948,100.0,UnkA-C21MI_20_1,UnkA-C21MI_20,False,UnkA-C21MI_20,1.0
105,85.0873,14.9127,100.0,UnkA-C21MI_20_2,UnkA-C21MI_20,False,UnkA-C21MI_20,2.0
106,85.1519,14.8481,100.0,UnkA-C21MI_20_3,UnkA-C21MI_20,False,UnkA-C21MI_20,3.0
107,85.8628,14.1372,100.0,UnkA-C21MI_21_1,UnkA-C21MI_21,False,UnkA-C21MI_21,1.0
108,85.7383,14.2617,100.0,UnkA-C21MI_21_2,UnkA-C21MI_21,False,UnkA-C21MI_21,2.0
109,85.6854,14.3146,100.0,UnkA-C21MI_21_3,UnkA-C21MI_21,False,UnkA-C21MI_21,3.0
110,84.7444,15.2556,100.0,UnkA-C21MI_22_1,UnkA-C21MI_22,False,UnkA-C21MI_22,1.0
111,84.8924,15.1076,100.0,UnkA-C21MI_22_2,UnkA-C21MI_22,False,UnkA-C21MI_22,2.0
112,84.6231,15.3769,100.0,UnkA-C21MI_22_3,UnkA-C21MI_22,False,UnkA-C21MI_22,3.0
113,80.792,19.208,100.0,UnkA-C21MI_23_1,UnkA-C21MI_23,False,UnkA-C21MI_23,1.0
114,80.7289,19.2711,100.0,UnkA-C21MI_23_2,UnkA-C21MI_23,False,UnkA-C21MI_23,2.0
115,80.7242,19.2758,100.0,UnkA-C21MI_23_3,UnkA-C21MI_23,False,UnkA-C21MI_23,3.0
116,79.4145,20.5855,100.0,UnkA-C21MI_24_1,UnkA-C21MI_24,False,UnkA-C21MI_24,1.0
117,79.3225,20.6775,100.0,UnkA-C21MI_24_2,UnkA-C21MI_24,False,UnkA-C21MI_24,2.0
118,79.3015,20.6985,100.0,UnkA-C21MI_24_3,UnkA-C21MI_24,False,UnkA-C21MI_24,3.0
119,79.003,20.997,100.0,UnkA-C21MI_24_4,UnkA-C21MI_24,False,UnkA-C21MI_24,4.0
120,82.5234,17.4766,100.0,UnkA-C21MI_25_1,UnkA-C21MI_25,False,UnkA-C21MI_25,1.0
121,82.5611,17.4389,100.0,UnkA-C21MI_25_2,UnkA-C21MI_25,False,UnkA-C21MI_25,2.0
122,82.6316,17.3684,100.0,UnkA-C21MI_25_3,UnkA-C21MI_25,False,UnkA-C21MI_25,3.0
123,81.9502,18.0498,100.0,UnkA-C21MI_26_1,UnkA-C21MI_26,False,UnkA-C21MI_26,1.0
124,82.0412,17.9588,100.0,UnkA-C21MI_26_2,UnkA-C21MI_26,False,UnkA-C21MI_26,2.0
125,81.6379,18.3621,100.0,UnkA-C21MI_26_3,UnkA-C21MI_26,False,UnkA-C21MI_26,3.0
126,90.2592,9.7408,100.0,SC-Olivine,SC-Ol,True,,
127,90.3646,9.6354,100.0,SC-Olivine,SC-Ol,True,,
128,90.3432,9.6568,100.0,SC-Olivine,SC-Ol,True,,
