,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
046KL2,0.0694,0.403,2.05,0.228,1.51,335.33,5.28,38.91,297.58,0.251,1.07,0.0865,0.751,33.16,0.118,0.0673,0.0,0.0134,0.0,0.0345,0.0149,0.0303,0.0114,0.0,0.0104,0.0772,0.0541,0.0093,0.0327,0.00482,0.0198,0.0112,0.0212,0.00713,0.0,0.00531,0.0254,0.00497,0.0383,0.0,0.0109
047GOR128,0.0582,0.289,1.34,0.195,0.952,217.82,3.49,25.11,187.0,0.165,0.467,0.0562,0.492,20.66,0.076,0.0463,0.0124,0.0184,0.0217,0.016,0.00819,0.0132,0.007,0.0069,0.0076,0.0,0.0193,0.00573,0.0349,0.0042,0.0173,0.00536,0.013,0.00621,0.0381,0.00732,0.0221,0.00306,0.0247,0.00668,0.00389
048MC59-1-2A,0.0474,0.266,1.23,0.162,0.893,199.89,3.24,23.05,192.78,0.148,0.323,0.0437,0.435,19.04,0.0607,0.0339,0.0086,0.0139,0.015,0.0157,0.0098,0.0129,0.00686,0.00675,0.00628,0.0,0.0326,0.00561,0.0341,0.00649,0.0119,0.00677,0.0156,0.0043,0.0,0.00554,0.0153,0.00424,0.0197,0.00653,0.00538
049MC59-2-1A,0.053,0.241,1.22,0.133,0.879,196.9,3.23,22.75,189.21,0.143,0.58,0.0476,0.432,20.37,0.0662,0.0372,0.00771,0.0177,0.0269,0.0122,0.00914,0.0183,0.0123,0.00606,0.00356,0.0417,0.0293,0.0101,0.025,0.00368,0.0151,0.00607,0.0229,0.00386,0.0126,0.0,0.0168,0.00465,0.0177,0.00717,0.00902
050MC59-2-6A,0.0759,0.364,1.78,0.243,1.32,290.6,4.79,33.68,279.56,0.21,0.898,0.0723,0.641,29.31,0.0913,0.0548,0.0,0.025,0.0,0.0188,0.0166,0.0359,0.0,0.0,0.00676,0.0456,0.0453,0.0135,0.0474,0.00806,0.0,0.0084,0.0177,0.00422,0.0196,0.00628,0.0212,0.00416,0.0306,0.0143,0.0118
051MC59-9-1A,0.0501,0.301,1.5,0.187,1.04,238.01,3.89,27.61,242.33,0.178,0.811,0.0616,0.533,23.74,0.0795,0.0466,0.0,0.0128,0.0238,0.0233,0.0145,0.0251,0.00771,0.0,0.00546,0.0,0.0299,0.0,0.0221,0.00564,0.019,0.00679,0.0175,0.00341,0.0274,0.00508,0.0,0.00476,0.0248,0.00897,0.00426
052MC59-9-1B,0.12,0.623,3.0,0.248,2.11,477.98,7.78,55.33,447.32,0.343,1.48,0.117,1.07,48.53,0.156,0.0903,0.0,0.026,0.0343,0.0439,0.0316,0.0418,0.0157,0.0,0.0158,0.106,0.0431,0.0128,0.0782,0.00664,0.0273,0.0155,0.0206,0.0121,0.0722,0.0127,0.035,0.0119,0.053,0.0106,0.0
053MC59-9-1B2,0.198,0.892,4.45,0.692,3.11,711.55,11.73,82.66,641.23,0.541,1.12,0.148,1.61,68.5,0.206,0.113,0.0,0.0279,0.0522,0.0385,0.0366,0.0711,0.0,0.0408,0.0169,0.0,0.131,0.039,0.0,0.0101,0.0415,0.0258,0.0626,0.0237,0.0491,0.0157,0.0376,0.0147,0.0688,0.0227,0.0187
054MC59-2-8A,0.0434,0.245,1.2,0.161,0.876,193.6,3.18,22.47,177.55,0.144,0.297,0.0391,0.442,19.22,0.0607,0.0322,0.0112,0.0181,0.0,0.0176,0.00931,0.0119,0.00633,0.0,0.00856,0.0426,0.03,0.0,0.0444,0.00533,0.0,0.00481,0.00826,0.00484,0.013,0.00509,0.00992,0.00477,0.0203,0.0,0.00603
055MC59-1-3A,0.0702,0.352,1.56,0.224,1.14,250.95,4.06,29.25,225.58,0.181,0.771,0.0561,0.56,24.45,0.0849,0.0539,0.0103,0.0166,0.0179,0.0187,0.0116,0.0327,0.00822,0.0,0.00581,0.0,0.0318,0.00668,0.0236,0.00599,0.0142,0.00884,0.0152,0.0,0.0238,0.00381,0.0129,0.0,0.0236,0.011,0.0
056MC59-1-3B,0.0436,0.365,1.68,0.242,1.16,265.18,4.39,30.87,225.4,0.178,0.566,0.0713,0.589,26.58,0.0862,0.057,0.0151,0.0199,0.0,0.0256,0.0147,0.032,0.0121,0.0,0.00778,0.0575,0.0233,0.017,0.0245,0.00622,0.0209,0.00649,0.0223,0.00653,0.0175,0.0056,0.0189,0.00525,0.0194,0.00987,0.00937
057MC59-1-7B,0.0609,0.349,1.67,0.276,1.21,268.28,4.44,31.16,249.68,0.199,0.723,0.066,0.609,26.68,0.0958,0.0606,0.0,0.0231,0.0,0.0143,0.0125,0.0264,0.00892,0.0152,0.00812,0.0,0.0487,0.0125,0.0255,0.00375,0.0267,0.00957,0.0116,0.00557,0.0408,0.00584,0.0139,0.00547,0.0271,0.00841,0.0
058MC82-6,0.0259,0.226,0.993,0.12,0.722,158.07,2.56,18.35,153.73,0.113,0.336,0.0321,0.345,15.98,0.0526,0.037,0.0,0.0177,0.0,0.0129,0.00545,0.0202,0.00881,0.00705,0.00585,0.0,0.0196,0.00412,0.0252,0.00213,0.0152,0.00589,0.0115,0.00224,0.0104,0.00333,0.0194,0.00382,0.0115,0.00479,0.00482
