No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
35,Al,90.995,1089.7,14.2,8.3,0.68,152.0,False
35,P,197.118,34.5,4.2,2.7,4.15,161.0,False
35,Mg,107.534,489.2,37.4,0.0,1.05,168.0,False
35,Ca,107.121,2180.6,33.3,39.0,0.49,91.0,False
35,Ti,88.305,632.9,0.0,45.1,0.92,125.0,False
36,Na,129.476,337.7,0.0,20.6,1.77,172.0,False
36,S,171.948,1.5,6.1,5.3,42.77,116.0,True
36,Fe,134.739,166.1,2.8,3.5,1.77,413.0,False
36,Si,77.822,3217.3,32.6,17.7,0.4,227.0,False
36,Cl,151.478,13.2,9.4,7.8,7.63,46.0,False
36,F,199.14,1.9,3.7,3.4,29.22,382.0,False
36,K,119.485,286.2,28.5,22.5,1.17,59.0,False
36,Mn,146.243,2.3,2.5,2.0,20.59,303.0,False
36,Al,90.995,1027.1,14.7,10.8,0.71,161.0,False
36,P,197.118,19.4,4.5,2.9,5.94,167.0,False
36,Mg,107.534,645.8,43.0,0.0,0.91,180.0,False
36,Ca,107.121,2471.5,32.7,39.8,0.46,92.0,False
36,Ti,88.305,604.7,0.0,45.5,0.94,126.0,False
37,Na,129.476,340.0,0.0,20.8,1.77,172.0,False
37,S,171.948,2.5,6.8,4.5,26.29,114.0,False
37,Fe,134.739,167.2,2.3,1.4,1.75,297.0,False
37,Si,77.822,3246.4,31.1,17.6,0.4,223.0,False
37,Cl,151.478,12.5,8.6,8.7,7.99,47.0,False
37,F,199.14,1.9,3.7,1.9,27.16,352.0,False
37,K,119.485,288.8,31.2,20.8,1.17,59.0,False
37,Mn,146.243,2.3,1.6,1.9,18.87,270.0,False
37,Al,90.995,1019.9,14.2,10.1,0.71,157.0,False
37,P,197.118,20.6,4.3,2.8,5.67,163.0,False
37,Mg,107.534,632.1,41.4,0.0,0.92,176.0,False
37,Ca,107.121,2428.6,33.3,38.8,0.46,91.0,False
37,Ti,88.305,609.4,0.0,44.2,0.94,124.0,False
38,Na,129.476,361.1,0.0,20.9,1.71,173.0,False
38,S,171.948,1.7,6.9,5.8,41.43,122.0,True
38,Fe,134.739,167.9,2.6,2.8,1.76,378.0,False
38,Si,77.822,3188.4,30.1,17.3,0.4,220.0,False
38,Cl,151.478,10.3,7.7,8.5,9.11,45.0,False
38,F,199.14,1.1,3.1,3.1,43.81,356.0,True
38,K,119.485,296.2,30.7,21.5,1.15,59.0,False
38,Mn,146.243,2.5,2.1,1.5,17.65,271.0,False
38,Al,90.995,1012.3,14.7,8.5,0.71,154.0,False
38,P,197.118,18.7,2.5,2.2,5.79,136.0,False
38,Mg,107.534,633.3,35.7,0.0,0.91,164.0,False
38,Ca,107.121,2443.4,32.1,36.8,0.46,89.0,False
38,Ti,88.305,591.5,0.0,47.4,0.96,128.0,False
39,Na,129.476,338.5,0.0,18.9,1.77,164.0,False
39,S,171.948,2.5,5.8,4.5,26.05,110.0,False
39,Fe,134.739,164.9,2.3,3.2,1.77,390.0,False
39,Si,77.822,3225.6,29.3,17.0,0.4,217.0,False
39,Cl,151.478,12.3,9.0,8.5,8.12,47.0,False
39,F,199.14,1.9,2.5,2.9,26.08,329.0,False
39,K,119.485,277.6,30.6,20.9,1.2,59.0,False
39,Mn,146.243,2.0,2.1,1.8,22.6,285.0,False
39,Al,90.995,1038.3,15.3,11.7,0.7,166.0,False
39,P,197.118,19.5,2.3,3.2,5.79,151.0,False
39,Mg,107.534,632.2,41.4,0.0,0.92,176.0,False
39,Ca,107.121,2437.1,36.1,36.5,0.46,91.0,False
39,Ti,88.305,600.9,0.0,47.5,0.95,128.0,False
40,Na,129.476,345.4,0.0,19.2,1.75,166.0,False
40,S,171.948,3.3,5.9,4.7,20.43,111.0,False
40,Fe,134.739,162.2,3.2,3.6,1.8,426.0,False
40,Si,77.822,3292.1,31.9,18.8,0.39,227.0,False
40,Cl,151.478,11.9,9.6,8.7,8.41,48.0,False
40,F,199.14,1.0,3.7,2.8,50.74,372.0,True
40,K,119.485,272.1,30.7,20.7,1.21,59.0,False
40,Mn,146.243,2.3,2.1,1.8,19.57,283.0,False
40,Al,90.995,1040.6,14.6,12.4,0.7,165.0,False
40,P,197.118,18.0,2.2,3.0,6.04,146.0,False
40,Mg,107.534,646.0,43.0,0.0,0.91,180.0,False
40,Ca,107.121,2454.2,31.2,37.8,0.46,89.0,False
40,Ti,88.305,589.9,0.0,44.1,0.95,124.0,False
41,Na,129.476,347.1,0.0,18.4,1.74,162.0,False
