,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
077MC82-40,2766,822,19905556,15228091,47592548,5965476,442324,14594121,106452,29124,1132718,307437,1444276,1818324,994,30473,885891,29799,155430,85537,569,370508,66958,141935,20282,13031,2155,2305,1820,1583,2236,1620,1372,606,634,443,2559,6872,2571,5656,1715
078MC82-5,5084,3417,28077730,12910526,54029776,6351322,753587,18834208,83166,16382,1197115,389137,1603345,1159976,1983,47710,1851255,40348,250190,164540,850,713490,144287,286337,38650,24166,3233,3314,2519,2130,2789,2066,1658,738,936,547,3675,12383,1264629,11196,3533
079MC99U-7,3000,1040,14505947,61665984,35853732,6516110,558840,13246919,81504,24738,539429,150708,1723907,2123905,1285,38099,1134897,23314,211546,113144,785,459509,110815,223357,28403,16818,1935,1796,1403,1231,1561,1146,970,379,507,348,3000,8968,3669,9196,2615
080MC99U-10,2080,540,11095791,43084508,34380112,5448876,273544,11442801,92257,25533,955878,220054,1381501,1715761,760,19153,639641,25243,121274,65827,385,257762,52267,103661,15293,10374,1700,1555,1340,1225,1765,1165,985,420,465,345,2075,4650,3330,4355,1335
081KL2,1713,604,7192421,11684294,21574848,4181965,113978,8222978,50552,16283,495934,162228,795920,1095775,379,5073,210435,16286,51152,9836,105,68084,9331,24204,4228,3400,702,917,756,747,1105,781,687,287,363,205,894,759,752,553,379
082KL2,2102,669,9113727,14038857,26384416,4693579,126581,8359469,57723,18325,571421,189064,932560,1305202,441,5999,253785,18705,60942,11635,135,87556,11912,28997,4792,3900,901,1107,932,919,1265,973,892,310,443,281,1172,1026,917,638,477
083KL2,2313,764,10196052,16291560,30810376,5196868,146989,8730509,65486,20157,633907,211011,1067177,1478064,377,6964,291877,21868,69116,13057,194,94920,13138,33274,5630,4331,1058,1158,1064,1115,1565,1044,1073,383,495,294,1246,1127,1014,772,508
084N612,22692,10388,84247592,32867,6755137,9458059,16035,6251954,115837,42888,3031,39409,51401,7691,18955,33304,97190,56857,29684,55981,72847,47761,58735,60168,73534,12708,11573,36374,11256,75413,18103,76158,25599,73209,16894,72053,20466,77855,28727,49650,52787
085N612,22835,10308,84507072,33585,7091999,9583088,16400,6211777,118137,44841,3135,39881,51583,7858,18270,33522,100355,58421,30931,57293,74713,48173,59584,61885,76099,12517,11403,36033,11470,78144,18457,77798,25723,74480,17346,72846,21048,78433,30190,51088,53790
086N612,22342,10290,85731808,33362,7041469,9741760,16347,6176208,111090,41537,2978,37635,50896,7726,18824,33724,100153,55972,28762,53432,70209,47373,59433,61500,74082,11600,10955,36146,11395,74846,16889,74808,25516,74107,16168,67893,20113,78896,29239,47718,51125
