oxide,standard,mass_pct
Na2O,VGA99-15KV,2.6555
SO3,Scapolite_bgls,1.3235
FeO,VGA99-15KV,13.3022
SiO2,VGA99-15KV,50.9342
Cl,Scapolite_bgls,1.43
F,KE3,0.47
K2O,VGA99-15KV,0.8191
MnO,Rhodonite,43.4885
Al2O3,VGA99-15KV,12.4899
P2O5,VGA99-15KV,0.3896
MgO,VGA99-15KV,5.074
CaO,VGA99-15KV,9.3047
TiO2,VGA99-15KV,4.0534
