No.,Mg,Mn,Fe,Si,Ca,Cr,Ni,Al,Total,Comment,material,is_std,sample,spot
114,53.4662,0.2245,12.7619,33.1262,0.3028,0.0039,0.0982,0.0162,100.0,UnkA-C21MI_23_2,UnkA-C21MI_23,False,UnkA-C21MI_23,2.0
115,53.5253,0.2234,12.778,33.0524,0.3035,0.0003,0.1046,0.0125,100.0,UnkA-C21MI_23_3,UnkA-C21MI_23,False,UnkA-C21MI_23,3.0
116,52.5424,0.2627,13.6192,33.1632,0.331,0.0004,0.0612,0.02,100.0,UnkA-C21MI_24_1,UnkA-C21MI_24,False,UnkA-C21MI_24,1.0
117,52.4986,0.2651,13.686,33.1562,0.3167,0.0,0.0614,0.0161,100.0,UnkA-C21MI_24_2,UnkA-C21MI_24,False,UnkA-C21MI_24,2.0
118,52.9476,0.2615,13.822,32.5897,0.3043,0.0,0.0622,0.0128,100.0,UnkA-C21MI_24_3,UnkA-C21MI_24,False,UnkA-C21MI_24,3.0
119,52.85,0.2634,14.0453,32.4742,0.2894,0.0004,0.0624,0.0149,100.0,UnkA-C21MI_24_4,UnkA-C21MI_24,False,UnkA-C21MI_24,4.0
120,55.0843,0.2019,11.6637,32.5803,0.3349,0.008,0.112,0.015,100.0,UnkA-C21MI_25_1,UnkA-C21MI_25,False,UnkA-C21MI_25,1.0
121,54.7386,0.1953,11.5604,33.0473,0.333,0.0072,0.1021,0.016,100.0,UnkA-C21MI_25_2,UnkA-C21MI_25,False,UnkA-C21MI_25,2.0
122,55.4037,0.2057,11.6413,32.2899,0.3347,0.0027,0.1071,0.0149,100.0,UnkA-C21MI_25_3,UnkA-C21MI_25,False,UnkA-C21MI_25,3.0
123,54.3954,0.213,11.9803,32.9648,0.3301,0.0032,0.0986,0.0147,100.0,UnkA-C21MI_26_1,UnkA-C21MI_26,False,UnkA-C21MI_26,1.0
124,54.3541,0.2167,11.896,33.0953,0.3241,0.0021,0.0986,0.0132,100.0,UnkA-C21MI_26_2,UnkA-C21MI_26,False,UnkA-C21MI_26,2.0
125,54.2634,0.2187,12.2052,32.8571,0.3395,0.0027,0.098,0.0155,100.0,UnkA-C21MI_26_3,UnkA-C21MI_26,False,UnkA-C21MI_26,3.0
126,59.9212,0.0945,6.4652,33.1779,0.0871,0.0058,0.2334,0.0151,100.0,SC-Olivine,SC-Ol,True,,
127,59.7988,0.1007,6.3758,33.3885,0.0869,0.0031,0.2308,0.0154,100.0,SC-Olivine,SC-Ol,True,,
128,59.7325,0.0966,6.3812,33.4363,0.0904,0.0049,0.2371,0.0209,100.0,SC-Olivine,SC-Ol,True,,
