No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
11,Cr,159.16,12.8,71.5,70.5,17.73,51.0,False
11,Ni,115.404,31.5,36.8,32.7,4.12,64.0,False
11,Al,90.986,13.8,84.7,65.3,14.95,24.0,False
12,Mg,107.54,61035.4,303.5,228.8,0.09,39.0,False
12,Mn,146.037,101.6,93.7,83.9,2.13,34.0,False
12,Fe,134.743,1862.9,0.0,22.2,0.52,103.0,False
12,Si,77.808,26131.0,185.6,114.6,0.14,60.0,False
12,Ca,107.775,735.6,280.7,240.7,0.63,14.0,False
12,Cr,159.16,17.5,68.2,65.5,12.83,50.0,False
12,Ni,115.404,31.1,38.3,32.5,4.19,65.0,False
12,Al,90.986,19.6,81.3,61.4,10.45,24.0,False
13,Mg,107.54,61230.6,297.9,231.6,0.09,39.0,False
13,Mn,146.037,102.7,91.9,82.3,2.1,34.0,False
13,Fe,134.743,1866.4,0.0,23.5,0.52,107.0,False
13,Si,77.808,25922.5,177.4,116.1,0.14,59.0,False
13,Ca,107.775,752.4,277.1,235.4,0.61,14.0,False
13,Cr,159.16,13.3,68.3,67.1,16.76,50.0,False
13,Ni,115.404,32.4,36.2,32.7,4.01,64.0,False
13,Al,90.986,20.0,83.1,64.8,10.4,24.0,False
14,Mg,107.54,60802.4,299.9,238.9,0.09,39.0,False
14,Mn,146.037,98.9,95.7,87.9,2.2,34.0,False
14,Fe,134.743,1890.0,0.0,25.0,0.52,110.0,False
14,Si,77.808,26001.7,187.5,106.9,0.14,59.0,False
14,Ca,107.775,735.1,274.3,239.1,0.62,14.0,False
14,Cr,159.16,13.4,65.8,65.4,16.42,49.0,False
14,Ni,115.404,32.5,37.2,32.1,4.01,64.0,False
14,Al,90.986,13.0,82.2,64.1,15.65,24.0,False
15,Mg,107.54,61591.7,303.1,224.7,0.09,39.0,False
15,Mn,146.037,99.7,92.8,87.3,2.17,34.0,False
15,Fe,134.743,1824.9,0.0,23.4,0.53,106.0,False
15,Si,77.808,25125.1,180.4,107.7,0.14,58.0,False
15,Ca,107.775,741.5,274.5,236.3,0.62,14.0,False
15,Cr,159.16,16.2,68.3,67.4,13.91,50.0,False
15,Ni,115.404,32.4,36.0,32.4,4.01,64.0,False
15,Al,90.986,21.5,82.7,63.3,9.66,24.0,False
16,Mg,107.54,58861.5,298.4,227.3,0.09,39.0,False
16,Mn,146.037,114.6,95.6,84.8,1.94,34.0,False
16,Fe,134.743,2077.6,0.0,24.1,0.49,108.0,False
16,Si,77.808,25929.8,187.6,115.7,0.14,60.0,False
16,Ca,107.775,679.1,285.6,243.7,0.66,14.0,False
16,Cr,159.16,27.6,70.7,66.0,8.47,50.0,False
16,Ni,115.404,29.2,38.2,33.5,4.44,65.0,False
16,Al,90.986,21.0,84.0,64.4,9.98,24.0,False
17,Mg,107.54,58897.9,295.4,231.7,0.09,39.0,False
17,Mn,146.037,111.0,99.0,85.4,2.01,35.0,False
17,Fe,134.743,2078.6,0.0,21.8,0.49,102.0,False
17,Si,77.808,25246.8,188.1,111.4,0.14,60.0,False
17,Ca,107.775,673.9,282.3,241.3,0.67,14.0,False
17,Cr,159.16,11.3,69.3,69.7,19.87,51.0,False
17,Ni,115.404,31.6,37.7,33.3,4.14,65.0,False
17,Al,90.986,15.9,80.7,65.0,12.84,24.0,False
18,Mg,107.54,58967.9,301.7,231.5,0.09,39.0,False
18,Mn,146.037,113.3,96.3,86.7,1.97,34.0,False
18,Fe,134.743,2091.8,0.0,23.8,0.49,107.0,False
18,Si,77.808,25190.1,188.3,111.0,0.14,60.0,False
