,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
053MC59-9-1B2,6.25,3.88,40759.39,50641.32,94393.63,310093.81,2735.54,13822.55,112350.98,38.86,20957.25,383.45,1403.14,102356.7,1.28,52.98,1188.79,31.9,453.19,133.69,0.69,554.89,93.78,182.51,19.36,70.78,10.85,3.47,9.95,1.27,6.49,1.27,3.5,0.363,2.59,0.307,10.28,7.11,6.63,11.19,3.18
054MC59-2-8A,3.95,0.72,23829.33,116898.38,89292.41,237802.3,1646.56,8239.21,113280.09,36.76,18960.86,305.44,1290.7,79327.91,0.7,22.08,844.19,29.47,281.84,59.65,0.213,329.55,44.13,98.57,12.46,49.66,8.51,2.86,7.39,1.11,5.51,1.02,2.5,0.333,2.45,0.252,5.66,3.75,6.19,4.4,1.22
055MC59-1-3A,4.02,2.71,29689.55,220437.08,102801.8,307653.09,1631.29,8241.64,112636.85,37.07,20528.77,356.1,2041.39,127461.78,0.38,27.24,996.57,30.58,286.6,68.31,0.238,355.64,63.08,132.64,14.48,56.93,10.03,3.39,8.9,1.2,7.48,1.29,3.73,0.54,2.77,0.359,7.5,4.63,5.89,4.92,1.46
056MC59-1-3B,4.59,2.47,29368.58,39620.71,99742.35,207311.67,3121.11,13489.34,106990.72,27.33,18286.2,387.83,1138.03,67592.09,0.82,44.77,1363.1,36.47,402.56,125.36,0.38,614.54,111.66,208.29,22.16,79.1,12.42,3.7,10.79,1.45,7.34,1.43,3.6,0.53,2.95,0.327,8.49,8.2,21.06,10.43,2.56
057MC59-1-7B,5.68,2.24,33654.76,27416.9,87475.92,220188.77,2094.34,9918.6,103274.27,29.87,26801.64,324.94,1412.79,83581.31,0.56,24.34,1011.95,36.51,403.85,67.26,0.288,313.34,54.96,128.8,16.25,69.73,13.98,4.0,11.1,1.56,8.03,1.37,3.44,0.446,2.75,0.359,10.11,4.01,4.07,5.07,1.39
058MC82-6,4.03,1.67,21856.55,22635.95,77475.99,170249.72,1855.71,8862.9,91982.01,28.02,19205.7,283.4,1100.03,65180.92,0.44,25.19,855.26,29.09,281.53,70.1,0.281,300.28,51.95,108.26,12.95,52.23,8.63,2.71,8.26,1.19,6.12,0.96,2.45,0.393,2.11,0.279,5.59,3.75,3.8,6.02,1.24
059MC82-11,4.44,2.42,24432.84,68036.59,90426.33,228742.73,2794.03,12290.9,112065.09,38.56,23168.01,379.06,1558.23,93138.12,0.71,32.75,1159.21,37.82,393.95,112.51,0.44,460.62,83.92,168.57,19.92,81.26,12.37,3.2,9.8,1.47,7.49,1.21,3.23,0.47,3.12,0.411,8.33,6.09,5.5,9.55,2.06
060MC82-29,4.48,2.2,25210.27,24785.24,82505.89,205127.7,2136.64,9901.99,97914.02,35.1,21484.75,352.63,1302.41,81086.65,0.64,27.45,919.46,28.75,292.13,72.81,0.307,354.65,57.17,118.29,13.95,55.2,10.24,3.06,8.86,1.16,6.46,1.09,2.67,0.349,2.51,0.361,6.56,4.27,4.27,6.02,1.39
061MC82-35,7.15,3.29,34271.96,25914.26,79049.42,209438.59,3149.96,16326.79,71613.03,17.57,23436.37,283.63,1824.73,96400.74,0.97,46.47,887.08,36.36,389.88,119.2,0.56,537.44,86.84,168.57,19.54,75.86,13.43,4.08,11.13,1.38,7.81,1.39,3.64,0.48,2.87,0.383,7.99,6.96,6.92,9.34,2.49
062MC82-37,4.68,1.44,25016.44,36726.7,79341.87,183280.25,1869.98,8985.74,91124.37,29.62,22759.58,324.17,1414.21,84523.58,0.52,24.87,879.25,28.99,291.56,70.38,0.271,337.82,54.36,110.17,13.03,51.48,10.26,3.08,8.51,1.13,6.8,1.07,2.91,0.354,2.45,0.33,7.03,4.36,7.17,5.58,1.35
