 
Mass percent  	      Group : Olivine       	  Sample : 010317Fr        	 Page 	  1 	 
 
   No. 	   MgO   	   MnO   	   FeO   	   SiO2  	   CaO   	   Cr2O3 	   NiO   	   Al2O3 	  Total  	Comment  
   37  	 47.1000 	  0.2149 	 13.1000 	 40.2200 	  0.3389 	  0.0418 	  0.2219 	  0.0285 	101.2660 	UnkA-C20-S2-3MI_4_1 
   38  	 47.2300 	  0.2179 	 12.9300 	 40.2300 	  0.3381 	  0.0396 	  0.2057 	  0.0302 	101.2214 	UnkA-C20-S2-3MI_4_2 
   39  	 47.1500 	  0.2042 	 13.0600 	 40.2100 	  0.3342 	  0.0243 	  0.1993 	  0.0262 	101.2082 	UnkA-C20-S2-3MI_4_3 
   40  	 44.0800 	  0.3071 	 17.1300 	 39.5500 	  0.3816 	  0.0140 	  0.1667 	  0.0323 	101.6616 	UnkA-C21MI_1_1 
   41  	 43.9800 	  0.3095 	 17.3100 	 38.4200 	  0.3941 	  0.0024 	  0.1542 	  0.0337 	100.6038 	UnkA-C21MI_1_2 
   42  	 43.8800 	  0.3074 	 17.4400 	 38.2400 	  0.3855 	  0.0138 	  0.1496 	  0.0296 	100.4458 	UnkA-C21MI_1_3 
   43  	 43.8700 	  0.3095 	 17.3900 	 38.3300 	  0.3858 	  0.0140 	  0.1561 	  0.0280 	100.4834 	UnkA-C21MI_2_1 
   44  	 43.7900 	  0.3137 	 17.6100 	 38.5100 	  0.3749 	  0.0127 	  0.1435 	  0.0244 	100.7792 	UnkA-C21MI_2_2 
   45  	 42.8600 	  0.3396 	 18.5100 	 39.3700 	  0.4001 	  0.0000 	  0.1420 	  0.0238 	101.6455 	UnkA-C21MI_2_3 
   46  	 45.7600 	  0.3122 	 14.7900 	 38.7400 	  0.3230 	  0.0146 	  0.2382 	  0.0211 	100.1991 	UnkA-C21MI_3_1 
   47  	 45.1900 	  0.3192 	 15.5100 	 39.8700 	  0.3355 	  0.0198 	  0.2201 	  0.0229 	101.4874 	UnkA-C21MI_3_2 
   48  	 46.4100 	  0.3274 	 13.9000 	 38.7900 	  0.3197 	  0.0302 	  0.2437 	  0.0221 	100.0430 	UnkA-C21MI_3_3 
   49  	 41.8400 	  0.3661 	 19.9000 	 39.4900 	  0.2920 	  0.0068 	  0.1305 	  0.0226 	102.0479 	UnkA-C21MI_4_1 
   50  	 41.7500 	  0.3593 	 19.9000 	 39.4700 	  0.2976 	  0.0000 	  0.1363 	  0.0298 	101.9429 	UnkA-C21MI_4_2 
   51  	 41.7600 	  0.3678 	 19.8100 	 39.4800 	  0.3137 	  0.0044 	  0.1252 	  0.0331 	101.8941 	UnkA-C21MI_4_3 
   52  	 41.9400 	  0.3553 	 19.8000 	 38.1500 	  0.2958 	  0.0036 	  0.1426 	  0.0290 	100.7162 	UnkA-C21MI_4_4 
   53  	 41.7900 	  0.3699 	 20.1800 	 39.3500 	  0.2928 	  0.0042 	  0.1385 	  0.0306 	102.1559 	UnkA-C21MI_5_1 
   54  	 41.7400 	  0.3661 	 19.8400 	 39.3300 	  0.2929 	  0.0013 	  0.1464 	  0.0289 	101.7456 	UnkA-C21MI_5_2 
   55  	 41.7900 	  0.3734 	 20.1900 	 38.1400 	  0.2951 	  0.0104 	  0.1277 	  0.0351 	100.9616 	UnkA-C21MI_5_3 
   56  	 41.8600 	  0.3671 	 19.9100 	 38.1200 	  0.2960 	  0.0103 	  0.1337 	  0.0258 	100.7228 	UnkA-C21MI_6_1 
   57  	 41.8800 	  0.3639 	 19.8700 	 37.9600 	  0.2888 	  0.0000 	  0.1320 	  0.0245 	100.5191 	UnkA-C21MI_6_2 
   58  	 41.8000 	  0.3682 	 19.8900 	 37.9600 	  0.3031 	  0.0087 	  0.1382 	  0.0390 	100.5071 	UnkA-C21MI_6_3 
   59  	 49.7600 	  0.1487 	  9.5400 	 39.7700 	  0.1018 	  0.0054 	  0.3552 	  0.0340 	 99.7152 	SC-Olivine 
   60  	 49.9700 	  0.1457 	  9.6200 	 39.7000 	  0.1033 	  0.0104 	  0.3548 	  0.0313 	 99.9356 	SC-Olivine 
   61  	 50.0700 	  0.1356 	  9.4900 	 39.6900 	  0.1028 	  0.0143 	  0.3781 	  0.0382 	 99.9191 	SC-Olivine 
   62  	 45.9000 	  0.2469 	 14.8300 	 40.0400 	  0.3460 	  0.0156 	  0.1944 	  0.0308 	101.6036 	UnkA-C21MI_7_1 
   63  	 46.0600 	  0.2432 	 14.6400 	 38.7700 	  0.3412 	  0.0143 	  0.1905 	  0.0273 	100.2864 	UnkA-C21MI_7_2 
   64  	 45.9600 	  0.2528 	 14.7400 	 39.8900 	  0.3428 	  0.0170 	  0.1889 	  0.0289 	101.4203 	UnkA-C21MI_7_3 
   65  	 43.2300 	  0.3224 	 18.0700 	 39.3900 	  0.3887 	  0.0114 	  0.1573 	  0.0295 	101.5993 	UnkA-C21MI_8_1 
   66  	 42.6600 	  0.3365 	 18.5000 	 39.4900 	  0.3509 	  0.0032 	  0.1384 	  0.0316 	101.5105 	UnkA-C21MI_8_2 
   67  	 42.7500 	  0.3330 	 18.6900 	 38.2300 	  0.3902 	  0.0000 	  0.1190 	  0.0277 	100.5399 	UnkA-C21MI_8_3 
   68  	 42.1000 	  0.3705 	 19.4900 	 39.5300 	  0.3161 	  0.0037 	  0.1083 	  0.0226 	101.9411 	UnkA-C21MI_9_1 
   69  	 42.1700 	  0.3649 	 19.3300 	 38.5600 	  0.3123 	  0.0042 	  0.1292 	  0.0279 	100.8985 	UnkA-C21MI_9_2 
   70  	 42.1300 	  0.3771 	 19.4400 	 39.4300 	  0.3307 	  0.0082 	  0.1223 	  0.0284 	101.8667 	UnkA-C21MI_9_3 
   71  	 44.8000 	  0.2985 	 15.8500 	 39.9500 	  0.3471 	  0.0125 	  0.1936 	  0.0279 	101.4795 	UnkA-C21MI_10_1 
   72  	 45.8600 	  0.2844 	 14.4100 	 40.0000 	  0.3241 	  0.0248 	  0.2321 	  0.0245 	101.1598 	UnkA-C21MI_10_2 
   73  	 44.8500 	  0.2955 	 15.8500 	 39.8200 	  0.3525 	  0.0123 	  0.2010 	  0.0269 	101.4081 	UnkA-C21MI_10_3 
   74  	 45.1400 	  0.3078 	 15.4500 	 40.3400 	  0.3708 	  0.0259 	  0.2117 	  0.0232 	101.8693 	UnkA-C21MI_11_1 
   75  	 44.9000 	  0.2939 	 15.9400 	 40.1500 	  0.3675 	  0.0155 	  0.2037 	  0.0251 	101.8957 	UnkA-C21MI_11_2 
   76  	 45.0900 	  0.3033 	 15.5900 	 40.3100 	  0.3864 	  0.0084 	  0.2115 	  0.0203 	101.9199 	UnkA-C21MI_11_3 
   77  	 45.4200 	  0.2905 	 15.3100 	 40.4000 	  0.3490 	  0.0260 	  0.2077 	  0.0193 	102.0225 	UnkA-C21MI_12_1 
   78  	 44.8800 	  0.2990 	 15.7800 	 40.2600 	  0.3909 	  0.0041 	  0.1972 	  0.0276 	101.8387 	UnkA-C21MI_12_2 
   79  	 44.6300 	  0.3036 	 16.1800 	 40.2300 	  0.3528 	  0.0058 	  0.1971 	  0.0214 	101.9206 	UnkA-C21MI_12_3 
   80  	 45.1800 	  0.2802 	 15.5400 	 40.2200 	  0.3536 	  0.0176 	  0.1672 	  0.0379 	101.7964 	UnkA-C21MI_13_1 
   81  	 44.1200 	  0.3148 	 17.1000 	 40.0000 	  0.3635 	  0.0140 	  0.1673 	  0.0209 	102.1004 	UnkA-C21MI_13_2 
   82  	 43.8700 	  0.3188 	 17.2000 	 39.8600 	  0.3628 	  0.0122 	  0.1697 	  0.0402 	101.8336 	UnkA-C21MI_13_3 
   83  	 42.1700 	  0.3440 	 19.4500 	 38.7400 	  0.3136 	  0.0000 	  0.1031 	  0.0278 	101.1485 	UnkA-C21MI_14_1 
   84  	 42.2700 	  0.3530 	 19.3300 	 39.5900 	  0.3083 	  0.0057 	  0.1153 	  0.0350 	102.0072 	UnkA-C21MI_14_2 
   85  	 42.1800 	  0.3589 	 19.4300 	 39.7200 	  0.3049 	  0.0067 	  0.1150 	  0.0278 	102.1432 	UnkA-C21MI_14_3 
