 
Ratios  	      Group : Olivine       	  Sample : 010317Fr        	 Page 	  1 	 
 
   No. 	    Fo+M 	    Fa+M 	  Total  	Comment  
    1  	 90.2772 	  9.7228 	100.0000 	SC-Olivine 
    2  	 90.2076 	  9.7925 	100.0000 	SC-Olivine 
    3  	 90.3021 	  9.6979 	100.0000 	SC-Olivine 
    4  	 84.9758 	 15.0242 	100.0000 	UnkA-C20-S2-1MI_1_1 
    5  	 84.5580 	 15.4420 	100.0000 	UnkA-C20-S2-1MI_1_2 
    6  	 85.5647 	 14.4353 	100.0000 	UnkA-C20-S2-1MI_1_3 
    7  	 83.9524 	 16.0476 	100.0000 	UnkA-C20-S2-1MI_2_1 
    8  	 84.0273 	 15.9727 	100.0000 	UnkA-C20-S2-1MI_2_2 
    9  	 83.7606 	 16.2394 	100.0000 	UnkA-C20-S2-1MI_2_3 
   10  	 86.8440 	 13.1559 	100.0000 	UnkA-C20-S2-1MI_3_1 
   11  	 86.6617 	 13.3383 	100.0000 	UnkA-C20-S2-1MI_3_2 
   12  	 86.7473 	 13.2527 	100.0000 	UnkA-C20-S2-1MI_3_3 
   13  	 86.7646 	 13.2354 	100.0000 	UnkA-C20-S2-1MI_4_1 
   14  	 86.5629 	 13.4371 	100.0000 	UnkA-C20-S2-1MI_4_2 
   15  	 87.0810 	 12.9191 	100.0000 	UnkA-C20-S2-1MI_4_3 
   16  	 85.1667 	 14.8333 	100.0000 	UnkA-C20-S2-1MI_5_1 
   17  	 85.1891 	 14.8109 	100.0000 	UnkA-C20-S2-1MI_5_2 
   18  	 85.1317 	 14.8683 	100.0000 	UnkA-C20-S2-1MI_5_3 
   19  	 86.8354 	 13.1646 	100.0000 	UnkA-C20-S2-1MI_6_1 
   20  	 86.9206 	 13.0794 	100.0000 	UnkA-C20-S2-1MI_6_2 
   21  	 86.5777 	 13.4223 	100.0000 	UnkA-C20-S2-1MI_6_3 
   22  	 85.3252 	 14.6748 	100.0000 	UnkA-C20-S2-1MI_7_1 
   23  	 85.3252 	 14.6748 	100.0000 	UnkA-C20-S2-1MI_7_2 
   24  	 85.4502 	 14.5498 	100.0000 	UnkA-C20-S2-1MI_7_3 
   25  	 90.3059 	  9.6941 	100.0000 	SC-Olivine 
   26  	 90.3815 	  9.6185 	100.0000 	SC-Olivine 
   27  	 90.2895 	  9.7105 	100.0000 	SC-Olivine 
   28  	 86.9886 	 13.0114 	100.0000 	UnkA-C20-S2-3MI_1_1 
   29  	 86.6734 	 13.3266 	100.0000 	UnkA-C20-S2-3MI_1_2 
   30  	 87.1644 	 12.8356 	100.0000 	UnkA-C20-S2-3MI_1_3 
   31  	 85.1765 	 14.8235 	100.0000 	UnkA-C20-S2-3MI_2_1 
   32  	 85.4856 	 14.5144 	100.0000 	UnkA-C20-S2-3MI_2_2 
   33  	 85.6382 	 14.3618 	100.0000 	UnkA-C20-S2-3MI_2_3 
   34  	 83.7525 	 16.2475 	100.0000 	UnkA-C20-S2-3MI_3_1 
   35  	 83.5563 	 16.4437 	100.0000 	UnkA-C20-S2-3MI_3_2 
   36  	 83.5453 	 16.4547 	100.0000 	UnkA-C20-S2-3MI_3_3 
   37  	 86.5005 	 13.4995 	100.0000 	UnkA-C20-S2-3MI_4_1 
   38  	 86.6861 	 13.3139 	100.0000 	UnkA-C20-S2-3MI_4_2 
   39  	 86.5511 	 13.4489 	100.0000 	UnkA-C20-S2-3MI_4_3 
   40  	 82.1060 	 17.8940 	100.0000 	UnkA-C21MI_1_1 
   41  	 81.9167 	 18.0833 	100.0000 	UnkA-C21MI_1_2 
   42  	 81.7750 	 18.2250 	100.0000 	UnkA-C21MI_1_3 
   43  	 81.8040 	 18.1960 	100.0000 	UnkA-C21MI_2_1 
   44  	 81.5932 	 18.4068 	100.0000 	UnkA-C21MI_2_2 
   45  	 80.4957 	 19.5043 	100.0000 	UnkA-C21MI_2_3 
   46  	 84.6438 	 15.3562 	100.0000 	UnkA-C21MI_3_1 
   47  	 83.8564 	 16.1436 	100.0000 	UnkA-C21MI_3_2 
   48  	 85.6110 	 14.3890 	100.0000 	UnkA-C21MI_3_3 
   49  	 78.9350 	 21.0650 	100.0000 	UnkA-C21MI_4_1 
   50  	 78.9042 	 21.0958 	100.0000 	UnkA-C21MI_4_2 
