group,oxide,n,mean,2SD,2RSD%,2SE
1982-CS2-L3A,SiO2,9,45.827777777777776,0.9066299012153642,1.9783414016094747,0.3022099670717881
1982-CS2-L3A,TiO2,9,3.941111111111111,0.09614803401237325,2.4396174404041706,0.03204934467079108
1982-CS2-L3A,Al2O3,9,14.976666666666667,0.18083141320025184,1.2074209650584364,0.06027713773341728
1982-CS2-L3A,FeO,9,13.455555555555556,0.8423248251779779,6.260052375393725,0.28077494172599265
1982-CS2-L3A,MnO,9,0.21367777777777777,0.07046068249582726,32.975203705602695,0.023486894165275756
1982-CS2-L3A,MgO,9,4.9688888888888885,0.31135902820449046,6.2661700667272235,0.10378634273483016
1982-CS2-L3A,CaO,9,11.001111111111111,0.5974482776311651,5.430799412867879,0.19914942587705506
1982-CS2-L3A,Na2O,9,3.2533333333333334,1.853941746657645,56.985914343984994,0.617980582219215
1982-CS2-L3A,K2O,9,1.731111111111111,0.15409232441768297,8.901353785360378,0.051364108139227656
1982-CS2-L3A,P2O5,9,0.6705888888888889,0.11344877453919214,16.917783222917322,0.037816258179730715
1982-CS2-L3A,SO3,9,0.037366666666666666,0.039552749588366166,105.850355722657,0.013184249862788723
1982-CS2-L3A,Cl,9,0.1213888888888889,0.013081454217496019,10.776484023566514,0.00436048473916534
1982-CS2-L3A,F,9,0.1335,0.05231328703111667,39.185982794843945,0.017437762343705556
1982-CS2-L5B,SiO2,9,45.99333333333333,0.7285602240034802,1.5840561472752868,0.24285340800116006
1982-CS2-L5B,TiO2,9,3.828888888888889,0.13944333775567944,3.6418747527600552,0.046481112585226476
1982-CS2-L5B,Al2O3,9,14.82,0.5902541825349471,3.982821744500318,0.1967513941783157
1982-CS2-L5B,FeO,9,13.818888888888889,1.7101591868725103,12.375518760032639,0.5700530622908367
1982-CS2-L5B,MnO,9,0.2496,0.07060311607854147,28.286504839159242,0.02353437202618049
1982-CS2-L5B,MgO,9,4.441111111111111,0.3801900109740449,8.560695768742567,0.12673000365801498
1982-CS2-L5B,CaO,9,9.7,0.8969949832635639,9.24737096148004,0.2989983277545213
1982-CS2-L5B,Na2O,9,4.863333333333333,0.8228000972289686,16.918439285037053,0.2742666990763229
1982-CS2-L5B,K2O,9,2.054444444444444,0.2632700345863751,12.814658254609931,0.08775667819545836
1982-CS2-L5B,P2O5,9,0.7404444444444445,0.05190299713033064,7.009708495993034,0.01730099904344355
1982-CS2-L5B,SO3,9,0.03635555555555556,0.01947077582201364,53.55653496275145,0.00649025860733788
1982-CS2-L5B,Cl,9,0.13137777777777776,0.029391457564703693,22.3717116104815,0.009797152521567898
1982-CS2-L5B,F,9,0.19269999999999998,0.08008345646886128,41.55861778352946,0.026694485489620428
UnknA-BatokeCS1-3_A,SiO2,6,48.90166666666667,1.4592829289300433,2.9841169604240685,0.5957497610387892
UnknA-BatokeCS1-3_A,TiO2,6,3.0883333333333334,0.2072357755472417,6.710278754902591,0.08460365109011427
UnknA-BatokeCS1-3_A,Al2O3,6,17.705000000000002,0.8427336471270136,4.759862452002336,0.3440445707559797
UnknA-BatokeCS1-3_A,FeO,6,10.25,0.7895315066544216,7.702746406384602,0.32232488785902574
UnknA-BatokeCS1-3_A,MnO,6,0.17074999999999999,0.055188223381442525,32.321067866144965,0.022530497849211708
UnknA-BatokeCS1-3_A,MgO,6,3.436666666666667,0.773838915192733,22.517136232572245,0.3159184142218435
UnknA-BatokeCS1-3_A,CaO,6,8.358333333333334,0.6039094854915489,7.225238111563893,0.24654501504683593
UnknA-BatokeCS1-3_A,Na2O,6,5.2250000000000005,0.5749086884019055,11.00303709860106,0.23470548921289963
UnknA-BatokeCS1-3_A,K2O,6,2.39,0.45939090108533925,19.22137661444934,0.18754555002274337
UnknA-BatokeCS1-3_A,P2O5,6,1.2615166666666668,0.1505022746228995,11.93026446654684,0.06144229632572156
UnknA-BatokeCS1-3_A,SO3,6,0.0161,0.025906910275059817,160.91248618049576,0.010576451830993858
UnknA-BatokeCS1-3_A,Cl,6,0.07211666666666668,0.1540297849984433,213.58417147923728,0.06288239640613086
UnknA-BatokeCS1-3_A,F,6,0.25285,0.09080491176142401,35.91256150343049,0.037070949992323285
UnknA-BatokeCS1-3_B,SiO2,2,45.65,2.8284271247461903,6.195897315982892,2.0
UnknA-BatokeCS1-3_B,TiO2,2,3.0949999999999998,0.38183766184073537,12.33724270890906,0.2699999999999998
UnknA-BatokeCS1-3_B,Al2O3,2,16.509999999999998,1.187939392393402,7.1952719103173965,0.8400000000000015
UnknA-BatokeCS1-3_B,FeO,2,10.085,2.192031021678297,21.735557974003935,1.5499999999999996
UnknA-BatokeCS1-3_B,MnO,2,0.1492,0.008202438661763931,5.497613044077702,0.005799999999999986
UnknA-BatokeCS1-3_B,MgO,2,5.12,1.3293607486307086,25.964077121693528,0.9399999999999994
UnknA-BatokeCS1-3_B,CaO,2,10.225000000000001,0.4384062043356589,4.287591240446541,0.3099999999999996
UnknA-BatokeCS1-3_B,Na2O,2,6.525,1.0323759005323594,15.82185288172198,0.73
UnknA-BatokeCS1-3_B,K2O,2,2.2,0.6222539674441621,28.28427124746191,0.4400000000000001
UnknA-BatokeCS1-3_B,P2O5,2,1.1943,0.09644936495384514,8.075807163513785,0.06820000000000004
UnknA-BatokeCS1-3_B,SO3,2,0.0208,0.013576450198781717,65.27139518645056,0.009600000000000003
