standard,oxide,reference,measured,sd2,dev,dev_pct,problem
KE3,SiO2,,71.12833333333333,1.6774941629307285,,,
KE3,TiO2,,0.32881666666666665,0.03546681077664958,,,
KE3,Al2O3,,8.793333333333335,0.11360751148875135,,,
KE3,FeO,,7.753333333333334,0.4198412398355675,,,
KE3,MnO,,0.2324833333333333,0.12279605313961302,,,
KE3,MgO,,0.02601666666666667,0.021609041317621352,,,
KE3,CaO,,0.4275166666666667,0.05172348273914533,,,
KE3,Na2O,,5.641666666666667,3.2191282463838977,,,
KE3,K2O,,4.258333333333333,0.10152175464730032,,,
KE3,P2O5,,0.011466666666666667,0.01781714530071152,,,
KE3,SO3,0.0299664,0.03473333333333333,0.016956729244363925,0.004766933333333331,15.907594283375149,False
KE3,Cl,0.39,0.3884166666666667,0.016338135348523287,-0.0015833333333333255,-0.40598290598290393,False
KE3,F,0.47,0.4461833333333334,0.12287303474182878,-0.023816666666666597,-5.067375886524808,False
Scapolite,SiO2,49.78,50.89166666666667,0.25594270192108814,1.1116666666666717,2.2331592339627795,True
Scapolite,TiO2,,0.006000000000000001,0.013200606046693463,,,
Scapolite,Al2O3,25.05,25.713333333333335,0.3484058935590286,0.663333333333334,2.6480372588157044,True
Scapolite,FeO,0.17,0.13025,0.10082854754482978,-0.03975000000000001,-23.38235294117647,False
Scapolite,MnO,,0.028983333333333333,0.03445632984905193,,,
Scapolite,MgO,,0.008,0.018439522770397284,,,
Scapolite,CaO,13.58,14.033333333333331,0.1632993161855445,0.45333333333333137,3.338242513500231,True
Scapolite,Na2O,5.2,5.223333333333333,0.21528275979898298,0.02333333333333254,0.44871794871793347,False
Scapolite,K2O,0.94,0.8617666666666667,0.03488854635359097,-0.07823333333333327,-8.322695035460987,True
Scapolite,P2O5,,0.014899999999999998,0.034277222757977344,,,
Scapolite,SO3,1.323516,1.3602833333333333,0.08207298378069773,0.036767333333333374,2.77800444674136,False
Scapolite,Cl,1.43,1.4400000000000002,0.025298221281347056,0.010000000000000231,0.6993006993007155,False
Scapolite,F,0.016,0.006566666666666666,0.016032799713919795,-0.009433333333333335,-58.95833333333335,False
VG2,SiO2,50.81,51.245,0.9290640451551219,0.43499999999999517,0.8561306829364203,False
VG2,TiO2,1.85,1.8583333333333332,0.04273952113286556,0.008333333333333082,0.4504504504504368,False
VG2,Al2O3,14.06,13.938333333333334,0.388930156540562,-0.12166666666666615,-0.8653390232337563,False
VG2,FeO,11.84,11.875,0.2963106478005809,0.03500000000000014,0.29560810810810934,False
VG2,MnO,0.22,0.2135,0.08073938320299456,-0.006500000000000006,-2.9545454545454573,False
VG2,MgO,6.71,7.120000000000001,0.1496662954709575,0.41000000000000103,6.110283159463502,True
VG2,CaO,11.12,11.299999999999999,0.12328828005937956,0.17999999999999972,1.6187050359712205,True
VG2,Na2O,2.62,2.75,0.18633303518163383,0.1299999999999999,4.961832061068698,False
VG2,K2O,0.19,0.19528333333333334,0.012781497043252274,0.005283333333333334,2.7807017543859653,False
VG2,P2O5,0.2,0.18876666666666667,0.04999834663933065,-0.011233333333333345,-5.616666666666672,False
VG2,SO3,0.35709959999999996,0.36023333333333335,0.01859447946748352,0.0031337333333333883,0.8775516223858522,False
VG2,Cl,0.03291,0.030899999999999997,0.009579144011862438,-0.002010000000000005,-6.107566089334563,False
VG2,F,0.032,0.047716666666666664,0.07165689545791575,0.015716666666666664,49.11458333333332,False
VGA99,SiO2,50.94,51.035000000000004,0.9296666069080907,0.09500000000000597,0.18649391440912047,False
VGA99,TiO2,4.06,4.081666666666667,0.07420691791650369,0.02166666666666739,0.5336617405583102,False
VGA99,Al2O3,12.49,12.288333333333334,0.4886580262992388,-0.20166666666666622,-1.6146250333600176,False
VGA99,FeO,13.3,13.431666666666667,0.36582327245087476,0.13166666666666593,0.9899749373433528,False
VGA99,MnO,0.15,0.19943333333333335,0.057317594739021156,0.04943333333333336,32.95555555555558,False
VGA99,MgO,5.08,5.19,0.0769415362466855,0.11000000000000032,2.165354330708668,True
VGA99,CaO,9.3,9.353333333333333,0.10013324456276604,0.05333333333333279,0.5734767025089547,False
VGA99,Na2O,2.66,2.75,0.24232209969377516,0.08999999999999986,3.383458646616536,False
VGA99,K2O,0.82,0.8144999999999999,0.004023928428786943,-0.00550000000000006,-0.6707317073170805,True
VGA99,P2O5,0.38,0.39418333333333333,0.07094306637485207,0.014183333333333326,3.732456140350875,False
VGA99,SO3,0.0424524,0.031,0.027246137340914946,-0.011452400000000001,-26.977037811760944,False
VGA99,Cl,0.02713,0.024233333333333332,0.011402222005673571,-0.002896666666666669,-10.676987344882672,False
VGA99,F,,0.06205,0.055130499725650955,,,
