No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot,datetime,curr_A,minutes,bracket,batch,fail_total,fail_crystal,fail_qtest,keep,group
32,4.77,2.1971,13.77,44.06,0.1293,0.2099,2.14,0.2167,15.32,0.9462,4.44,10.2,3.78,102.1791,UnknA-C21_6,UnknA-C21,False,UnknA-C21,6.0,2016-12-20 18:05:00,1.006e-08,107.0,,1.0,True,False,False,False,UnknA-C21
33,4.9,0.1283,12.74,43.89,0.1269,0.2127,2.22,0.2341,15.36,0.97,4.5,10.41,3.79,99.4821,UnknA-C21_7,UnknA-C21,False,UnknA-C21,7.0,2016-12-20 18:09:00,1.005e-08,111.0,,1.0,False,False,False,True,UnknA-C21
34,4.9,0.1267,12.82,44.87,0.1415,0.1362,2.21,0.2469,15.42,0.9765,4.44,10.46,3.77,100.5177,UnknA-C21_8,UnknA-C21,False,UnknA-C21,8.0,2016-12-20 18:12:00,1.006e-08,114.0,,1.0,False,False,False,True,UnknA-C21
35,4.81,0.1339,11.97,45.25,0.1325,0.2803,2.17,0.2166,15.55,0.9683,4.29,10.48,3.76,100.0116,UnknA-C21_9,UnknA-C21,False,UnknA-C21,9.0,2016-12-20 18:16:00,1.006e-08,118.0,,1.0,False,False,False,True,UnknA-C21
36,4.0,0.0293,12.08,45.73,0.0808,0.1543,1.28,0.1893,14.73,0.5434,5.64,11.86,3.6,99.9172,UnknA-C22-PS1-L2_1,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,1.0,2016-12-20 18:19:00,1.006e-08,121.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
37,4.03,0.0483,12.16,46.1,0.0768,0.1577,1.29,0.1937,14.62,0.5798,5.52,11.65,3.63,100.0563,UnknA-C22-PS1-L2_2,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,2.0,2016-12-20 18:23:00,1.006e-08,125.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
38,4.28,0.0317,12.21,45.35,0.0635,0.0924,1.32,0.2096,14.54,0.5247,5.55,11.72,3.52,99.4119,UnknA-C22-PS1-L2_3,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,3.0,2016-12-20 18:26:00,1.006e-08,128.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
39,4.01,0.0473,12.0,45.85,0.0755,0.1532,1.24,0.1612,14.87,0.5477,5.52,11.7,3.58,99.755,UnknA-C22-PS1-L2_4,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,4.0,2016-12-20 18:29:00,1.006e-08,131.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
40,4.07,0.063,11.8,46.72,0.0733,0.0831,1.21,0.1911,14.88,0.5063,5.62,11.79,3.51,100.5168,UnknA-C22-PS1-L2_5,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,5.0,2016-12-20 18:33:00,1.006e-08,135.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
41,4.11,0.0549,12.23,46.48,0.0716,0.1101,1.27,0.1563,14.69,0.5212,5.62,11.88,3.64,100.8341,UnknA-C22-PS1-L2_6,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,6.0,2016-12-20 18:36:00,1.006e-08,138.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
42,3.98,0.0449,12.27,46.43,0.095,0.1287,1.23,0.2401,14.88,0.5309,5.55,11.78,3.55,100.7095,UnknA-C22-PS1-L2_7,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,7.0,2016-12-20 18:40:00,1.006e-08,142.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
43,3.91,0.0379,12.31,46.89,0.0816,0.1498,1.1918,0.1979,14.68,0.5189,5.52,11.98,3.6,101.0678,UnknA-C22-PS1-L2_8,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,8.0,2016-12-20 18:43:00,1.006e-08,145.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
44,4.08,0.0294,12.06,46.55,0.0868,0.1266,1.25,0.1726,14.69,0.5556,5.67,11.77,3.56,100.6009,UnknA-C22-PS1-L2_9,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,9.0,2016-12-20 18:47:00,1.006e-08,149.0,,1.0,False,False,False,True,UnknA-C22-PS1-L2
45,3.97,0.0428,12.91,47.37,0.0741,0.0627,1.0877,0.2627,15.26,0.5233,5.43,11.01,3.48,101.4833,UnknA-C22-PS1-L3_1,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,1.0,2016-12-20 18:50:00,1.007e-08,152.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
46,3.4,0.0567,12.1,47.41,0.0653,0.1217,0.9193,0.1245,15.24,0.5405,5.59,12.21,3.58,101.3579,UnknA-C22-PS1-L3_2,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,2.0,2016-12-20 18:54:00,1.007e-08,156.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
47,3.49,0.0371,11.67,47.42,0.0761,0.0686,0.3311,0.2111,15.53,0.4557,5.62,12.71,3.49,101.1096,UnknA-C22-PS1-L3_3,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,3.0,2016-12-20 18:57:00,1.006e-08,159.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
48,3.25,0.0681,11.98,47.27,0.0881,0.1237,1.1984,0.2048,15.24,0.494,5.78,12.43,3.5,101.627,UnknA-C22-PS1-L3_4,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,4.0,2016-12-20 19:01:00,1.007e-08,163.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
49,0.4033,0.032,7.38,48.11,0.0022,0.0528,0.0011,0.1541,6.4,0.0021,13.83,23.28,2.34,101.9875,UnknA-C22-PS1-L3_5,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,5.0,2016-12-20 19:04:00,1.007e-08,166.0,,1.0,False,True,True,False,UnknA-C22-PS1-L3
