material,oxide,n,mean,2SD,2RSD%,2SE
KE3,SiO2,6,71.12833333333333,1.6774941629307276,2.35840499041272,0.6848341242795785
KE3,TiO2,6,0.3288166666666667,0.03546681077664955,10.786196191388175,0.014479264867772495
KE3,Al2O3,6,8.793333333333333,0.1136075114887528,1.2919732163239515,0.04638007234913701
KE3,FeO,6,7.753333333333334,0.41984123983556726,5.414977297965184,0.17139946842909906
KE3,MnO,6,0.2324833333333333,0.12279605313961305,52.819293055966625,0.05013127876995671
KE3,MgO,6,0.02601666666666667,0.021609041317621352,83.05845477625118,0.008821854176481899
KE3,CaO,6,0.4275166666666667,0.05172348273914533,12.09858860999072,0.02111602340509321
KE3,Na2O,6,5.641666666666667,3.2191282463838973,57.05988029040881,1.3142036033701594
KE3,K2O,6,4.258333333333334,0.10152175464730044,2.3840725161792666,0.04144608277965215
KE3,P2O5,6,0.011466666666666667,0.017817145300711525,155.38208111085632,0.0072738191099617315
KE3,SO3,6,0.03473333333333333,0.01695672924436392,48.8197579012397,0.006922555725870163
KE3,Cl,6,0.38841666666666663,0.016338135348523276,4.206342505519832,0.0066700158254018385
KE3,F,6,0.4461833333333334,0.12287303474182878,27.538687701280217,0.050162706377458455
Scapolite,SiO2,6,50.89166666666667,0.2559427019210921,0.5029167222945972,0.10448817051598792
Scapolite,TiO2,6,0.006000000000000001,0.013200606046693463,220.01010077822437,0.00538912485164954
Scapolite,Al2O3,6,25.713333333333335,0.348405893559029,1.3549619920625966,0.14223611043300824
Scapolite,FeO,6,0.13025,0.10082854754482978,77.41155281752766,0.04116308216513109
Scapolite,MnO,6,0.028983333333333333,0.03445632984905192,118.88325422329586,0.014066737756534423
Scapolite,MgO,6,0.008,0.018439522770397284,230.49403462996602,0.007527903647984167
Scapolite,CaO,6,14.033333333333333,0.16329931618554613,1.1636530844575734,0.06666666666666705
Scapolite,Na2O,6,5.223333333333334,0.21528275979898248,4.121558898512746,0.08788881865427706
Scapolite,K2O,6,0.8617666666666667,0.03488854635359094,4.048491047877338,0.014243189405622745
Scapolite,P2O5,6,0.014899999999999998,0.034277222757977344,230.048474885754,0.013993617592793271
Scapolite,SO3,6,1.3602833333333333,0.08207298378069776,6.033521235578208,0.03350615532173822
Scapolite,Cl,6,1.4400000000000002,0.025298221281347066,1.7568209223157683,0.010327955589886459
Scapolite,F,6,0.006566666666666666,0.016032799713919795,244.15431036426085,0.006545363074557269
VG2,SiO2,6,51.245000000000005,0.9290640451551186,1.81298476954848,0.37928880816601845
VG2,TiO2,6,1.8583333333333334,0.04273952113286567,2.299884545266314,0.017448336437736557
VG2,Al2O3,6,13.938333333333333,0.3889301565405621,2.790363433269608,0.15878007151752713
VG2,FeO,6,11.875,0.2963106478005807,2.4952475604259425,0.1209683154108269
VG2,MnO,6,0.21350000000000002,0.08073938320299455,37.817041312878004,0.032961715165729266
VG2,MgO,6,7.12,0.14966629547095733,2.102054711670749,0.06110100926607774
VG2,CaO,6,11.299999999999999,0.1232882800593789,1.0910467261891938,0.050332229568471415
VG2,Na2O,6,2.75,0.1863330351816339,6.775746733877597,0.0760701430698449
VG2,K2O,6,0.19528333333333334,0.01278149704325227,6.545103888325819,0.0052180243174766595
VG2,P2O5,6,0.18876666666666667,0.04999834663933065,26.486851477660593,0.02041173954152637
VG2,SO3,6,0.36023333333333335,0.01859447946748349,5.161787582349446,0.007591164454665537
VG2,Cl,6,0.0309,0.00957914401186244,31.000466057807248,0.0039106691669499915
VG2,F,6,0.047716666666666664,0.07165689545791576,150.17162862294606,0.02925380507064186
VGA99,SiO2,6,51.035,0.9296666069080944,1.8216255646283817,0.3795348029715697
VGA99,TiO2,6,4.081666666666667,0.07420691791650352,1.8180543385015153,0.030294847380004774
VGA99,Al2O3,6,12.288333333333334,0.48865802629923916,3.9766013261839612,0.19949380385810983
VGA99,FeO,6,13.431666666666667,0.36582327245087437,2.7235880812821023,0.14934672558996548
VGA99,MnO,6,0.19943333333333335,0.057317594739021156,28.74022801555465,0.0233998100657059
VGA99,MgO,6,5.19,0.07694153624668547,1.4824958814390263,0.0314112506383727
VGA99,CaO,6,9.353333333333333,0.10013324456276536,1.070562130036693,0.04087922591134887
VGA99,Na2O,6,2.75,0.2423220996937752,8.81171271613728,0.09892758294159751
VGA99,K2O,6,0.8145000000000001,0.0040239284287869066,0.49403663950729354,0.001642761902001193
VGA99,P2O5,6,0.39418333333333333,0.07094306637485208,17.99747994795622,0.02896238556779773
VGA99,SO3,6,0.031,0.027246137340914953,87.89076561585469,0.011123188991172152
VGA99,Cl,6,0.024233333333333332,0.011402222005673573,47.051810202229326,0.004654937641305676
VGA99,F,6,0.062049999999999994,0.055130499725650955,88.8485088245785,0.022506932265415475
