,sample,host_contaminated,sum_oxides_raw,scale_factor,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
053MC59-9-1B2,MC59-9-1B2,False,132.92273504062996,0.7523167497977934,6.25,3.88,40759.39,50641.32,94393.63,310093.81,2735.54,13822.55,112350.98,38.86,20957.25,383.45,1403.14,102356.7,1.28,52.98,1188.79,31.9,453.19,133.69,0.69,554.89,93.78,182.51,19.36,70.78,10.85,3.47,9.95,1.27,6.49,1.27,3.5,0.363,2.59,0.307,10.28,7.11,6.63,11.19,3.18
054MC59-2-8A,MC59-2-8,True,121.09637025342089,,3.95,0.72,23829.33,116898.38,89292.41,237802.3,1646.56,8239.21,113280.09,36.76,18960.86,305.44,1290.7,79327.91,0.7,22.08,844.19,29.47,281.84,59.65,0.213,329.55,44.13,98.57,12.46,49.66,8.51,2.86,7.39,1.11,5.51,1.02,2.5,0.333,2.45,0.252,5.66,3.75,6.19,4.4,1.22
055MC59-1-3A,MC59-1-3,True,163.00899034529496,,4.02,2.71,29689.55,220437.08,102801.8,307653.09,1631.29,8241.64,112636.85,37.07,20528.77,356.1,2041.39,127461.78,0.38,27.24,996.57,30.58,286.6,68.31,0.238,355.64,63.08,132.64,14.48,56.93,10.03,3.39,8.9,1.2,7.48,1.29,3.73,0.54,2.77,0.359,7.5,4.63,5.89,4.92,1.46
056MC59-1-3B,MC59-1-3,False,102.92823541455661,0.9715507080951814,4.59,2.47,29368.58,39620.71,99742.35,207311.67,3121.11,13489.34,106990.72,27.33,18286.2,387.83,1138.03,67592.09,0.82,44.77,1363.1,36.47,402.56,125.36,0.38,614.54,111.66,208.29,22.16,79.1,12.42,3.7,10.79,1.45,7.34,1.43,3.6,0.53,2.95,0.327,8.49,8.2,21.06,10.43,2.56
057MC59-1-7B,MC59-1-7,False,104.24727684094034,0.959257671090816,5.68,2.24,33654.76,27416.9,87475.92,220188.77,2094.34,9918.6,103274.27,29.87,26801.64,324.94,1412.79,83581.31,0.56,24.34,1011.95,36.51,403.85,67.26,0.288,313.34,54.96,128.8,16.25,69.73,13.98,4.0,11.1,1.56,8.03,1.37,3.44,0.446,2.75,0.359,10.11,4.01,4.07,5.07,1.39
058MC82-6,MC82-6,False,83.85450345605395,1.192541794161449,4.03,1.67,21856.55,22635.95,77475.99,170249.72,1855.71,8862.9,91982.01,28.02,19205.7,283.4,1100.03,65180.92,0.44,25.19,855.26,29.09,281.53,70.1,0.281,300.28,51.95,108.26,12.95,52.23,8.63,2.71,8.26,1.19,6.12,0.96,2.45,0.393,2.11,0.279,5.59,3.75,3.8,6.02,1.24
059MC82-11,MC82-11,True,114.44548297144995,,4.44,2.42,24432.84,68036.59,90426.33,228742.73,2794.03,12290.9,112065.09,38.56,23168.01,379.06,1558.23,93138.12,0.71,32.75,1159.21,37.82,393.95,112.51,0.44,460.62,83.92,168.57,19.92,81.26,12.37,3.2,9.8,1.47,7.49,1.21,3.23,0.47,3.12,0.411,8.33,6.09,5.5,9.55,2.06
060MC82-29,MC82-29,False,96.54693192993176,1.0357656944766953,4.48,2.2,25210.27,24785.24,82505.89,205127.7,2136.64,9901.99,97914.02,35.1,21484.75,352.63,1302.41,81086.65,0.64,27.45,919.46,28.75,292.13,72.81,0.307,354.65,57.17,118.29,13.95,55.2,10.24,3.06,8.86,1.16,6.46,1.09,2.67,0.349,2.51,0.361,6.56,4.27,4.27,6.02,1.39
061MC82-35,MC82-35,False,97.91409128662718,1.0213034578165738,7.15,3.29,34271.96,25914.26,79049.42,209438.59,3149.96,16326.79,71613.03,17.57,23436.37,283.63,1824.73,96400.74,0.97,46.47,887.08,36.36,389.88,119.2,0.56,537.44,86.84,168.57,19.54,75.86,13.43,4.08,11.13,1.38,7.81,1.39,3.64,0.48,2.87,0.383,7.99,6.96,6.92,9.34,2.49
062MC82-37,MC82-37,False,92.77721368891832,1.077850864710161,4.68,1.44,25016.44,36726.7,79341.87,183280.25,1869.98,8985.74,91124.37,29.62,22759.58,324.17,1414.21,84523.58,0.52,24.87,879.25,28.99,291.56,70.38,0.271,337.82,54.36,110.17,13.03,51.48,10.26,3.08,8.51,1.13,6.8,1.07,2.91,0.354,2.45,0.33,7.03,4.36,7.17,5.58,1.35
063MC82-39,MC82-39,False,95.23602665679459,1.0500228066042014,5.16,1.71,26481.02,35184.27,78976.8,197955.2,1965.41,9931.96,86407.33,29.48,21104.23,330.94,1430.17,86428.34,0.59,27.05,843.76,27.44,280.99,71.46,0.271,356.86,53.55,106.65,12.84,51.57,9.25,2.85,8.08,1.07,5.72,1.03,2.69,0.347,2.2,0.282,6.4,4.2,4.45,5.53,1.52
071MC82-12,MC82-12,False,94.779243355662,1.0550833332225173,6.74,2.96,28808.95,28147.19,74092.8,203042.41,2617.97,11925.48,89552.02,29.1,21538.21,305.05,1387.24,81253.88,0.81,27.56,897.93,28.81,303.43,82.3,0.32,331.83,51.64,104.1,13.82,55.23,9.62,2.98,7.7,1.07,6.25,1.13,2.43,0.325,2.24,0.334,6.17,4.09,4.52,6.1,1.54
072MC82-12B,MC82-12,False,91.19543183867987,1.0965461535057477,6.79,1.82,28897.83,28282.02,72967.48,192714.38,2454.95,11654.02,89552.02,26.47,18242.11,268.09,1297.77,76865.91,0.58,28.16,876.34,26.42,282.16,76.27,0.286,324.29,49.27,102.33,13.3,53.14,9.99,2.55,7.17,1.06,6.22,1.0,2.38,0.328,1.94,0.292,6.0,4.14,3.66,5.92,1.41
073MC82-19,MC82-19,True,185.40710654287489,,5.55,2.67,21350.03,295328.94,69446.66,342625.63,2344.03,9813.51,97628.13,40.45,18942.48,315.25,3642.78,218632.84,0.57,25.03,830.98,27.62,281.26,83.58,0.35,332.08,56.89,115.19,13.58,58.86,9.08,2.45,6.56,1.12,6.23,1.1,2.29,0.328,2.58,0.292,5.33,4.35,4.31,7.45,1.49
074MC82-21,MC82-21,False,88.83833509564309,1.1256401855386,4.2,2.17,20251.1,22454.33,72580.84,195269.75,2062.18,8294.77,97699.61,29.46,19831.37,277.48,1150.49,64504.45,0.5,20.17,788.63,23.34,223.02,61.87,0.183,273.29,39.94,90.41,11.97,46.67,8.92,2.73,6.3,0.96,5.43,0.78,2.11,0.301,2.0,0.228,4.66,3.07,55.49,4.48,1.31
075MC82-28,MC82-28,False,138.05224636941216,0.7243634394214155,6.89,11.73,62656.69,47689.06,146801.05,288315.84,3722.46,17658.44,71970.38,15.14,20235.1,218.75,1959.33,121283.0,2.83,85.1,1599.46,43.16,388.93,98.65,0.43,832.48,157.62,334.69,27.26,77.61,10.45,4.84,19.71,1.62,6.88,1.17,4.33,0.76,4.06,0.29,8.25,11.12,1846.88,9.25,2.11
076MC82-32,MC82-32,False,67.07393999845219,1.4908919917677061,2.41,1.23,14642.34,16258.56,50176.17,143550.42,1920.85,11675.49,90909.95,23.85,13812.56,175.79,713.79,40814.19,0.37,16.3,632.34,21.85,248.83,57.25,0.204,187.03,30.53,67.68,10.64,50.19,7.59,1.74,4.64,0.8,5.2,0.68,1.32,0.207,1.75,0.225,3.35,2.42,3.09,5.01,0.92
077MC82-40,MC82-40,False,99.6510993984241,1.0035012217996806,4.85,2.5,27177.84,33307.82,87502.42,208005.63,2330.29,11159.31,96627.55,34.61,20709.35,347.87,1361.39,80868.11,0.63,30.9,863.95,26.76,262.93,75.18,0.34,382.25,53.22,109.48,12.91,48.18,9.2,2.91,8.2,1.04,6.02,1.11,2.76,0.42,2.03,0.32,6.2,4.66,4.1,5.85,1.45
078MC82-5,MC82-5,False,84.78461967937221,1.1794592035462022,7.51,12.2,32447.35,23898.08,84062.66,188322.47,3384.98,14287.32,63751.32,16.19,18514.17,372.46,1279.45,43578.31,1.28,40.93,1527.33,30.64,357.99,122.29,0.44,622.62,97.11,186.89,20.83,75.57,11.68,3.54,9.59,1.18,6.35,1.2,2.82,0.43,2.54,0.332,7.53,7.1,1714.57,9.79,2.53
079MC99U-7,MC99U-7,True,148.42225417241355,,6.87,4.87,26100.17,177851.2,86904.08,301774.66,3891.53,12325.35,97199.32,38.5,12992.25,224.58,2143.81,124466.71,1.26,50.88,1458.3,27.55,471.34,130.94,0.62,624.44,116.25,227.12,23.85,81.89,10.87,2.98,8.33,1.06,5.53,1.03,2.57,0.344,2.13,0.328,9.58,8.01,7.72,12.51,2.91
080MC99U-10,MC99U-10,True,132.0147134747819,,5.03,1.62,20926.3,130308.17,87380.28,259355.52,1964.47,9553.02,115638.6,41.81,24132.6,343.74,1800.64,105340.88,0.6,26.73,861.6,31.26,283.21,79.81,0.31,367.12,57.52,110.53,13.45,52.91,10.01,2.71,8.32,1.1,6.55,1.09,2.75,0.4,2.07,0.341,6.92,4.35,7.37,6.2,1.55
